row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child & Maternal Health,Access to Care
23904,"IL, Will, 17197881401",17197881401,"+41.5470050,-088.0913313",0.555366368066826,0.801163245826667,0.576376456679631,0.620795224906255,0.759980671218569,0.294501596592506,0.209843668606715,0.62490371263744
23905,"IL, Will, 17197881402",17197881402,"+41.5472759,-088.1080388",0.470205763070351,0.532833883826488,0.512306747635502,0.562852061296522,0.649298665819447,0.294501596592506,0.188423457873183,0.551223928448809
23906,"IL, Will, 17197881500",17197881500,"+41.5433216,-088.1181961",0.422540978488277,0.443111510914871,0.468089031624654,0.535590196521098,0.530974562486564,0.294501596592506,0.174313024704628,0.511206926573619
23907,"IL, Will, 17197881601",17197881601,"+41.5333382,-088.1330270",0.422510090884622,0.506348410665605,0.444484231557353,0.607205590031331,0.503427244069622,0.294501596592506,0.165870366483825,0.435733196792115
23908,"IL, Will, 17197881603",17197881603,"+41.5405416,-088.1331334",0.467471728859493,0.705810048960701,0.584179963972113,0.402336888590323,0.591926809362283,0.294501596592506,0.165223006109067,0.528323788429455
23909,"IL, Will, 17197881604",17197881604,"+41.5477116,-088.1338305",0.38620244667637,0.398847741146903,0.532087505332504,0.342075557929398,0.462536217684694,0.294501596592506,0.167303325646701,0.506065182401882
23910,"IL, Will, 17197881700",17197881700,"+41.5342958,-088.1125367",0.372420837767989,0.351363414751385,0.470005909764551,0.430724798881113,0.438828021406245,0.294501596592506,0.175816788908494,0.445705334071634
23911,"IL, Will, 17197881800",17197881800,"+41.5388538,-088.0946565",0.492868215352167,0.630679750321026,0.609798781274238,0.436787273758459,0.681208277132111,0.294501596592506,0.192027771626394,0.605074056760433
23912,"IL, Will, 17197881900",17197881900,"+41.5317188,-088.0883414",0.543988828124996,0.846326574055635,0.550220136385575,0.54896783749704,0.748937012143269,0.294501596592506,0.196660444308256,0.622308195892689
23913,"IL, Will, 17197882000",17197882000,"+41.5255068,-088.0796335",0.59128464222094,0.827600650978184,0.594146435111641,0.59267712503235,0.749876817067162,0.294501596592506,0.217011836089713,0.863178034675028
23914,"IL, Will, 17197882100",17197882100,"+41.5320328,-088.0639941",0.526798581814647,0.784978060387154,0.565056514150785,0.381377024266419,0.757918427215533,0.294501596592506,0.24408970676514,0.659668743324992
23915,"IL, Will, 17197882200",17197882200,"+41.5328528,-088.0488744",0.553028719773107,0.801163245826667,0.578620369772448,0.526857149150097,0.764527500708659,0.294501596592506,0.252852673504704,0.652678502856672
23916,"IL, Will, 17197882300",17197882300,"+41.5199955,-088.0411844",0.533546224785026,0.794543594251066,0.587239845462319,0.490650243104692,0.698630814567357,0.294501596592506,0.247478233726765,0.62177924579048
23917,"IL, Will, 17197882400",17197882400,"+41.5191033,-088.0671995",0.526511365519577,0.742362336654604,0.54398056852142,0.51059694178152,0.699776082915907,0.294501596592506,0.235225589967021,0.659136442204062
23918,"IL, Will, 17197882500",17197882500,"+41.5160928,-088.0807010",0.542265784911614,0.886360358999361,0.507828635359359,0.614925471755254,0.639105397029532,0.294501596592506,0.220862281652076,0.632276752993208
