row#,Name,FIPS,Source,ToxPi Score,Temperature-related deaths,Disaster-related deaths,Infectious Diseases,Air pollution-related illnesses,Air pollution-related deaths
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.660248781790863,0.705283259070656,0.858899676375405,0.277029287577138,0.93475493316359,0.525276752767528
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.677532525238526,0.73138128580522,0.858899676375405,0.327535090625838,0.868555060471038,0.601291512915129
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.630571607170613,0.683322724379376,0.858899676375405,0.277029287577138,0.928071292170592,0.405535055350553
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.64680417441773,0.753660089115213,0.858899676375405,0.044334872573121,0.983768300445576,0.593357933579336
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.651581604881784,0.605983450031827,0.858899676375405,0.398916625601334,0.836728198599618,0.557380073800738
26,"AL, Elmore",01051,"+32.5972286,-086.1427385",0.676578956741723,0.766072565245067,0.858899676375405,0.172650627943157,0.975493316359007,0.609778597785978
27,"AL, Escambia",01053,"+31.1217475,-087.1684290",0.637655632434799,0.800127307447486,0.858899676375405,0.277029287577138,0.852959898154042,0.399261992619926
28,"AL, Etowah",01055,"+34.0476377,-086.0344203",0.715876745153052,0.873965626989179,0.858899676375405,0.258286022890175,0.892106938255888,0.696125461254613
29,"AL, Fayette",01057,"+33.7322485,-087.7520486",0.638436212293289,0.811584977721197,0.858899676375405,0.109220277516247,0.912476129853596,0.5
30,"AL, Franklin",01059,"+34.4419884,-087.8428147",0.654949796689436,0.929026098026734,0.858899676375405,0.174431167874472,0.797262889879058,0.515129151291513
31,"AL, Geneva",01061,"+31.0908664,-085.8243464",0.607086225213038,0.683004455760662,0.858899676375405,0.277029287577138,0.851368555060471,0.365129151291513
32,"AL, Greene",01063,"+32.8444965,-087.9642005",0.654129804501814,0.892106938255888,0.858899676375405,0.0360310103379585,0.975493316359007,0.508118081180812
33,"AL, Hale",01065,"+32.7527958,-087.6230608",0.650727336804317,0.737746658179503,0.858899676375405,0.0360310103379585,0.992361553150859,0.62859778597786
34,"AL, Henry",01067,"+31.5169779,-085.2399712",0.660617973388572,0.778803309993635,0.858899676375405,0.277029287577138,0.963080840229153,0.425276752767528
35,"AL, Houston",01069,"+31.1581928,-085.2963976",0.622918433057713,0.708465945257798,0.858899676375405,0.277029287577138,0.882558879694462,0.387638376383764
