row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Stressors,Governance,Housing Composition & Disability,Minority Status & Language,Housing Type & Transportation
29,"AL, Fayette",01057,"+33.7322485,-087.7520486",0.537654348220931,0.687207539708693,0.63872,0.650747835213855,0.0550234136318258,0.656572952550283
30,"AL, Franklin",01059,"+34.4419884,-087.8428147",0.61501518262496,0.756738944177157,0.88352,0.564418787719759,0.216770000318893,0.65362818090899
31,"AL, Geneva",01061,"+31.0908664,-085.8243464",0.592298916234552,0.848414947604297,0.683787453874539,0.664917344528995,0.220481069190933,0.543893765973997
32,"AL, Greene",01063,"+32.8444965,-087.9642005",0.698090458036373,0.784485599420023,0.864,0.775037173095426,0.226502803587075,0.840426714079342
33,"AL, Hale",01065,"+32.7527958,-087.6230608",0.587929229788284,0.674026230804719,0.59776,0.783084054928715,0.213479052451234,0.671296810756751
34,"AL, Henry",01067,"+31.5169779,-085.2399712",0.526144491288245,0.754036775851842,0.64288,0.611650485436893,0.161103967238279,0.461051227914213
35,"AL, Houston",01069,"+31.1581928,-085.2963976",0.595187115704179,0.746787055954656,0.683434981549816,0.711799177818595,0.280908473654543,0.553005889543283
36,"AL, Jackson",01071,"+34.7635224,-085.9774003",0.553924775470934,0.611744546233441,0.86288,0.607452112306481,0.169156286488934,0.518390932325814
37,"AL, Jefferson",01073,"+33.5534439,-086.8965359",0.601936235677679,0.677123838397153,0.530209594095941,0.594507128487711,0.532821170802411,0.675019446605178
38,"AL, Lamar",01075,"+33.7870852,-088.0874309",0.556731426386956,0.684966717195018,0.67392,0.668503454911222,0.118251624791316,0.638015335037226
39,"AL, Lauderdale",01077,"+34.9041221,-087.6509966",0.503206087733266,0.589797666908324,0.767225977859779,0.472491909385113,0.194293526584456,0.492221357928659
40,"AL, Lawrence",01079,"+34.5297759,-087.3218651",0.500676957015144,0.756738944177157,0.66496,0.460334120528295,0.135686646473168,0.4856650738971
41,"AL, Lee",01081,"+32.6040644,-085.3530477",0.483171334740962,0.610294602254004,0.756065239852399,0.384938336394647,0.278737848465236,0.385820646738527
42,"AL, Limestone",01083,"+34.8102387,-086.9813995",0.470503332841212,0.49476042971067,0.773418745387454,0.459371993352576,0.286650127381097,0.338315368374264
43,"AL, Lowndes",01085,"+32.1478880,-086.6505859",0.598330594509746,0.964937718315429,0.51184,0.784133648211318,0.22335189605421,0.507389709967774
