row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Economic & Productivity Losses,Transition Risks,Social Stressors
899,"KS, Cherokee",20021,"+37.1693922,-094.8456975",0.564788440524064,0.301432792449607,0.862451669254954,0.721806500997711,0.373462799393986
900,"KS, Cheyenne",20023,"+39.7892558,-101.7273018",0.575148013159822,0.421989628686625,0.458842339862104,0.848985930577984,0.570774153512575
901,"KS, Clark",20025,"+37.2338311,-099.8138686",0.531290176752139,0.390030263087436,0.64799421704193,0.879906544426733,0.207229682452456
902,"KS, Clay",20027,"+39.3449643,-097.1688527",0.548735772709528,0.234236799894584,0.740019568057751,0.745365063930092,0.475321658955687
903,"KS, Cloud",20029,"+39.4873286,-097.6413898",0.492373907785879,0.339800320892762,0.487461841146614,0.644596992012293,0.497636477091847
904,"KS, Coffey",20031,"+38.2364502,-095.7291373",0.604433915149805,0.531088047337079,0.697979406007158,0.743800628110363,0.44486757914462
905,"KS, Comanche",20033,"+37.1890712,-099.2540887",0.545506627226223,0.508063650455135,0.658743720045205,0.827912059829878,0.187307078574675
906,"KS, Cowley",20035,"+37.2345068,-096.8372468",0.468526269098822,0.31330428662167,0.668838647560495,0.647909914924659,0.244052227288462
907,"KS, Crawford",20037,"+37.5056283,-094.8539407",0.503988494256623,0.145937662346281,0.737637995494708,0.703769476252608,0.428608842932894
908,"KS, Decatur",20039,"+39.7835420,-100.4597084",0.51751192617895,0.307392107354415,0.433290452947681,0.774997318868476,0.554367825545226
909,"KS, Dickinson",20041,"+38.8677353,-097.1579434",0.498797882800193,0.144590815848123,0.682629165912489,0.755763960849463,0.412207588590696
910,"KS, Doniphan",20043,"+39.7885021,-095.1472253",0.63862075515003,0.34982928767064,0.781882910309393,0.664566555122943,0.758204267497145
911,"KS, Douglas",20045,"+38.8965726,-095.2905294",0.526269296817834,0.196153130900935,0.603505557085036,0.696867553518512,0.608550945766854
912,"KS, Edwards",20047,"+37.8835945,-099.3047457",0.552938810093971,0.444141094473557,0.72801595637076,0.860581160771264,0.179017028760301
913,"KS, Elk",20049,"+37.4560259,-096.2446421",0.582402587564822,0.567952628597988,0.744383765889065,0.731469192825445,0.285804762946788
914,"KS, Ellis",20051,"+38.9145957,-099.3173291",0.457095711383147,0.302160904595147,0.486685488151933,0.663830350031306,0.375706102754202
915,"KS, Ellsworth",20053,"+38.7008451,-098.2053552",0.543334888724546,0.437888261853754,0.682507559521727,0.669259862582129,0.383683870940573
916,"KS, Finney",20055,"+38.0498552,-100.7399289",0.515135867636586,0.310971746715192,0.484471951436537,0.910919183911937,0.354180588482678
917,"KS, Ford",20057,"+37.6883653,-099.8847340",0.568501310283126,0.356628568992242,0.715829060505073,0.859476853133809,0.342070758501379
918,"KS, Franklin",20059,"+38.5580187,-095.2789618",0.620024324640555,0.378835948156587,0.768811554204204,0.816500880909506,0.515948915291921
919,"KS, Geary",20061,"+39.0021553,-096.7680381",0.533492914990619,0.328493711427846,0.57955337600331,0.712511911715796,0.513412660815525
920,"KS, Gove",20063,"+38.9172385,-100.4873598",0.552055942896181,0.447235096433757,0.507700901514794,0.78944534379185,0.463842429844321
921,"KS, Graham",20065,"+39.3494451,-099.8809524",0.548714456144319,0.461846263549803,0.512480378706181,0.823310778007147,0.397220404314144
922,"KS, Grant",20067,"+37.5475370,-101.2993622",0.589601357506663,0.318627972088362,0.676350580044992,0.972116232154253,0.391310645739045
923,"KS, Gray",20069,"+37.7445134,-100.4517163",0.575696917877972,0.308944694168972,0.684352987836319,0.971564078335525,0.337925911171072
924,"KS, Greeley",20071,"+38.4804076,-101.8059837",0.493493784321304,0.321876864009911,0.401272779333454,0.831777136560971,0.419048357380879
925,"KS, Greenwood",20073,"+37.8786589,-096.2422317",0.56146288864411,0.543913646060537,0.636052663400507,0.766530960314652,0.299354284800743
926,"KS, Hamilton",20075,"+37.9952438,-101.7936887",0.567810606293349,0.466910744284589,0.477062783577129,0.968159129786705,0.359109767524974
927,"KS, Harper",20077,"+37.1881840,-098.0665900",0.454467898428908,0.187350378610104,0.626022322644038,0.819261650003144,0.185237242458348
928,"KS, Harvey",20079,"+38.0501436,-097.4367065",0.556660789174024,0.337917784615329,0.734766594062809,0.790365600156396,0.363593177861561
929,"KS, Haskell",20081,"+37.5585504,-100.8768686",0.625440924220507,0.461413980499033,0.658912497395235,1,0.381437218987758
930,"KS, Hodgeman",20083,"+38.0874927,-099.8984067",0.543888998064707,0.433452036154945,0.539360011194785,0.860673186407719,0.342070758501379
931,"KS, Jackson",20085,"+39.4109892,-095.7945092",0.623274165106012,0.529531828354305,0.724074471936226,0.653891581294209,0.58559877883931
932,"KS, Jefferson",20087,"+39.2396440,-095.3753140",0.619235351231941,0.338028428163843,0.765104080316496,0.709475065712794,0.664333830734631
933,"KS, Jewell",20089,"+39.7770098,-098.2225842",0.532834526417592,0.290395073498511,0.531652150965322,0.779782651964116,0.529508229242417
934,"KS, Johnson",20091,"+38.8839065,-094.8223295",0.477736494453982,0.176137957871017,0.482872245603842,0.66410642694067,0.587829347400399
935,"KS, Kearny",20093,"+37.9944614,-101.3081363",0.559284031584845,0.317294663671743,0.597755814519453,0.983527411074625,0.338558237073557
936,"KS, Kingman",20095,"+37.5529509,-098.1445285",0.558953160182172,0.372524615615336,0.683589354459434,0.870611955144817,0.309086715509103
937,"KS, Kiowa",20097,"+37.5612311,-099.2865389",0.558320556590649,0.389186251756037,0.767906388936632,0.900520286992566,0.175669298677362
938,"KS, Labette",20099,"+37.1914676,-095.2974732",0.487246262485104,0.148790730481367,0.701032247368237,0.747849756114366,0.351312315976445
939,"KS, Lane",20101,"+38.4812863,-100.4661853",0.519931010830566,0.460030537154437,0.398655085793727,0.863986109320085,0.357052311054014
940,"KS, Leavenworth",20103,"+39.1895108,-095.0389770",0.531985256406153,0.152016563638018,0.649248325725646,0.667603401125946,0.659072735135001
941,"KS, Lincoln",20105,"+39.0472763,-098.2142650",0.496649676346786,0.213892557927418,0.663695929265996,0.758800806852465,0.350209411341267
942,"KS, Linn",20107,"+38.2165494,-094.8449321",0.587334613705719,0.313231202994499,0.769883975791278,0.77306478050293,0.49315849553417
943,"KS, Logan",20109,"+38.9132695,-101.1574069",0.493608707331203,0.300212576543406,0.478195190805675,0.721990552270621,0.474036509705109
944,"KS, Lyon",20111,"+38.4554978,-096.1615888",0.553285374605388,0.412470018468443,0.649487203570163,0.660885529664759,0.490298746718189
945,"KS, McPherson",20113,"+38.3958120,-097.6474893",0.50831943143169,0.295966819544624,0.647633561690717,0.709659116985703,0.380018227505715
946,"KS, Marion",20115,"+38.3596474,-097.1027707",0.595324189879128,0.390616005245409,0.745093554785238,0.819353675639599,0.426233523846267
947,"KS, Marshall",20117,"+39.7827091,-096.5212426",0.52672408167232,0.267695508024228,0.588148852610621,0.650302581472479,0.600749384581953
948,"KS, Meade",20119,"+37.2438862,-100.3600936",0.545432009664936,0.400115666054819,0.621952025936613,0.920397824466762,0.239262522201549
949,"KS, Miami",20121,"+38.5667718,-094.8329626",0.574906265214005,0.320666471467753,0.721212614970895,0.746101269021729,0.511644705395643
950,"KS, Mitchell",20123,"+39.3930256,-098.2073621",0.51615951529378,0.283922412152253,0.669606197590992,0.754843704484917,0.356265746946959
951,"KS, Montgomery",20125,"+37.1895369,-095.7424028",0.500442998301913,0.166368360923602,0.727246809258209,0.81677695781887,0.291379865206971
952,"KS, Morris",20127,"+38.6876956,-096.6449046",0.681380744017875,0.567616432906434,0.796335019902685,0.850550366397712,0.511021156864668
953,"KS, Morton",20129,"+37.1852495,-101.8095163",0.568560033983496,0.508648732218886,0.491395454248162,0.873004621692637,0.401191327774298
954,"KS, Nemaha",20131,"+39.7910427,-096.0053805",0.69977695731079,0.493825688623468,0.76378574611871,0.84990618694253,0.691590207558453
955,"KS, Neosho",20133,"+37.5642833,-095.3156826",0.528237762087925,0.154696718552796,0.739907335017621,0.834998033836883,0.383348960944401
956,"KS, Ness",20135,"+38.4804369,-099.9087452",0.478627544409719,0.309167742317256,0.561277053429239,0.683983964414866,0.360081417477512
957,"KS, Norton",20137,"+39.7838666,-099.8992352",0.568455355705179,0.295979834814072,0.795610343920213,0.750426473935095,0.431804770151336
