row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
36,OH,39,"+40.4149297,-082.7119975",0.606261368835868,0.695968758898426,0.551792441837884,0.411263390623326,0.687573810990519,0.740700808625337,0.566844272220877,0.589686098654708
37,OK,40,"+35.5894185,-097.4868683",0.618167957633362,0.755847536915755,0.778925700081563,0.611096812148399,0.489319841288252,0.57088948787062,0.690603051586341,0.430493273542601
38,OR,41,"+43.9715225,-120.6226269",0.398419791088844,0.376520359598096,0.663261739231755,0,0.681951735782197,0.435040431266846,0.43037054976992,0.201793721973094
39,PA,42,"+40.9042486,-077.8280624",0.605105304485625,0.398649473213196,0.339185147784208,0.185786156081793,1,0.891105121293801,0.676616614192298,0.744394618834081
40,RI,44,"+41.5978358,-071.5252895",0.476733756232543,0.434039783590286,0.447586126539014,0.161619488082925,0.704984505621721,0.615094339622642,0.296682005328167,0.677130044843049
41,SC,45,"+33.8741769,-080.8542699",0.691604258789463,0.797136232355693,0.697712354837457,0.747384222364679,0.45191000043289,0.857142857142857,0.810123516589973,0.479820627802691
42,SD,46,"+44.4467957,-100.2381762",0.438366233513823,0.221901313916121,0.223598865887288,0.29760795228374,0.186620302486209,0.493261455525607,0.910147735529184,0.73542600896861
43,TN,47,"+35.8585639,-086.3493573",0.66853073106326,0.89618842289387,0.617780712315998,0.837613163855988,0.397890294416722,0.812398921832884,0.738919835311213,0.378923766816143
44,TX,48,"+31.4347032,-099.2818238",0.652357967512034,0.604889557824513,0.667805957975687,0.644561180820775,0.661189249671192,0.433962264150943,0.948716396221845,0.605381165919282
45,UT,49,"+39.3349735,-111.6563633",0.392399835661949,0.0950656958060448,0.100555404513147,0.00877014888151032,0.74064726633412,0.39622641509434,0.634233470573989,0.771300448430493
46,VT,50,"+44.0605475,-072.6733540",0.287572477663585,0.191961924907456,0.176137025672894,0.163563436504346,0,0.35633423180593,0.290930007265682,0.834080717488789
47,VA,51,"+37.5222512,-078.6681938",0.41487189036701,0.257820445022983,0.156523090068746,0.190548509985916,0.376955022155788,0.850134770889488,0.560910632114314,0.511210762331838
48,WA,53,"+47.4162296,-120.5996231",0.375172693244431,0.229996338933409,0.469375072824018,0.116136530403769,0.688931465155684,0.502964959568733,0.320598207798498,0.298206278026906
49,WV,54,"+38.6472854,-080.6183274",0.64680767055186,0.681446528088516,0.673593039965821,0.498202327302724,0.481605400580768,0.997843665768194,0.623213853233228,0.571748878923767
50,WI,55,"+44.6284840,-089.7119299",0.404378136156781,0.235447260301835,0.23218239018138,0.143927319349481,0.704491656199717,0.488948787061995,0.480806490675708,0.544843049327354
51,WY,56,"+42.9918024,-107.5419255",0.467535276364669,0.331367204979051,0.312385909037946,0.358100557766122,0.385421921267526,0.401078167115903,0.681702591426496,0.802690582959641
