row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment
34,NC,37,"+35.5397100,-079.1308636",0.574072260611632,0.663396740163558,0.579193040157716,0.485109009850721,0.568590252274534
35,ND,38,"+47.4569538,-100.4619304",0.210756001945602,0.190744419695363,0.0827716810807934,0.152386286723318,0.417121620282935
36,OH,39,"+40.4149297,-082.7119975",0.607003892467663,0.738483636558158,0.582616168760965,0.451216754764221,0.655699009787307
37,OK,40,"+35.5894185,-097.4868683",0.684258220414917,0.758038262244201,0.787639268387224,0.636566658342774,0.554788692685471
38,OR,41,"+43.9715225,-120.6226269",0.447318293137296,0.398479745376333,0.752212798887315,0.0165312524210752,0.622049375864462
39,PA,42,"+40.9042486,-077.8280624",0.497192056738609,0.431059003062513,0.390402084295866,0.264911536567984,0.902395603028073
40,RI,44,"+41.5978358,-071.5252895",0.464825142600875,0.4340379577684,0.520702800843311,0.231749901697057,0.672809910094733
41,SC,45,"+33.8741769,-080.8542699",0.712979236107628,0.829811409226352,0.694208277946926,0.751424713402146,0.576472543855087
42,SD,46,"+44.4467957,-100.2381762",0.296778955248442,0.178526713108783,0.286711041107789,0.328258536441881,0.393619530335317
43,TN,47,"+35.8585639,-086.3493573",0.69504268813182,0.884747856125006,0.61194494387135,0.805907149287058,0.477570803243867
44,TX,48,"+31.4347032,-099.2818238",0.678433213197224,0.601059275467641,0.67500120941839,0.639988902824522,0.797683465078343
45,UT,49,"+39.3349735,-111.6563633",0.238902140796225,0.0919447843789267,0.0393177039398922,0,0.82434607486608
46,VT,50,"+44.0605475,-072.6733540",0.152835059804779,0.18975461358162,0.20804007105097,0.213545554586527,0
47,VA,51,"+37.5222512,-078.6681938",0.263714052004354,0.277155748043842,0.136201507651929,0.208389733614677,0.433109218706969
48,WA,53,"+47.4162296,-120.5996231",0.380296429299662,0.230463350439966,0.524445999798249,0.132173923951309,0.634102443009125
49,WV,54,"+38.6472854,-080.6183274",0.607091227840685,0.712196844939308,0.678970139487522,0.516935046417789,0.520262880518121
50,WI,55,"+44.6284840,-089.7119299",0.355946872698014,0.289791250255502,0.261946873195959,0.191794589050812,0.680254778289784
51,WY,56,"+42.9918024,-107.5419255",0.383266498572934,0.312970185822336,0.337137565220561,0.375832914797053,0.507125328451784
