row#,Name,FIPS,Source,ToxPi Score,Transportation,Energy,"Food, Water, and Waste Management",Communications,Financial Services,Governance
33,NY,36,"+42.9133974,-075.5962723",0.402868037601103,0.330416415208208,0.393951612903226,0.1796875,0.302083333333333,0.53106936416185,0.68
34,NC,37,"+35.5397100,-079.1308636",0.57908786373867,0.611647555823778,0.368145161290323,0.7265625,0.677083333333333,0.324421965317919,0.766666666666667
35,ND,38,"+47.4569538,-100.4619304",0.31930031222704,0.276403138201569,0.228225806451613,0.46875,0.520833333333333,0.201589595375722,0.22
36,OH,39,"+40.4149297,-082.7119975",0.552625030417971,0.421544960772481,0.501209677419355,0.5703125,0.604166666666667,0.411849710982659,0.806666666666667
37,OK,40,"+35.5894185,-097.4868683",0.69734492562378,0.644840072420036,0.449596774193548,0.984375,0.90625,0.392341040462428,0.806666666666667
38,OR,41,"+43.9715225,-120.6226269",0.213225661267917,0.448702474351237,0,0.140625,0.197916666666667,0.372109826589595,0.12
39,PA,42,"+40.9042486,-077.8280624",0.40715923230803,0.325890162945082,0.75383064516129,0,0.489583333333333,0.340317919075144,0.533333333333333
40,RI,44,"+41.5978358,-071.5252895",0.381266862089775,0.204888352444176,0.666935483870968,0.3203125,0.21875,0.483381502890173,0.393333333333333
41,SC,45,"+33.8741769,-080.8542699",0.787025283535003,0.806578153289077,0.689314516129032,0.7890625,0.833333333333333,0.817196531791908,0.786666666666667
42,SD,46,"+44.4467957,-100.2381762",0.456620122259168,0.163548581774291,0.870362903225806,0.5625,0.5625,0.320809248554913,0.26
43,TN,47,"+35.8585639,-086.3493573",0.829564784552224,0.896197948098974,0.579233870967742,0.859375,0.833333333333333,0.809248554913295,1
44,TX,48,"+31.4347032,-099.2818238",0.700016989936763,0.72118286059143,0.330241935483871,0.9140625,0.75,0.757947976878613,0.726666666666667
45,UT,49,"+39.3349735,-111.6563633",0.200318176171843,0.254375377187689,0.35383064516129,0.203125,0,0.0505780346820809,0.34
46,VT,50,"+44.0605475,-072.6733540",0.367053036480691,0.938141219070609,0.881048387096774,0.09375,0.1875,0.101878612716763,0
47,VA,51,"+37.5222512,-078.6681938",0.363027407892059,0.512673506336753,0.250806451612903,0.25,0.21875,0.352601156069364,0.593333333333333
48,WA,53,"+47.4162296,-120.5996231",0.303518642176226,0.532890766445383,0.0905241935483871,0.1640625,0.0520833333333333,0.614884393063584,0.366666666666667
49,WV,54,"+38.6472854,-080.6183274",0.603937408237355,0.830416415208208,0.677620967741935,0.3203125,0.770833333333333,0.117774566473988,0.906666666666667
50,WI,55,"+44.6284840,-089.7119299",0.350070036262298,0.384429692214846,0.53991935483871,0.0390625,0.4375,0.519508670520231,0.18
51,WY,56,"+42.9918024,-107.5419255",0.493765860763014,0.80084490042245,0.456451612903226,0.65625,0.385416666666667,0.296965317919075,0.366666666666667
