ToxPi Score,FIPS,Name,Source,Temperature!1!0x88cceeff,Sea Level Rise!1!0x44aa99ff,Storms!1!0x117733ff,Droughts!1!0x332288ff,Wildfires!1!0xddcc77ff,Precipitation!1!0x999933ff
0.738221066040928,23,ME,"+44.2570583,-69.8443825",0.722007722007722,0.78,1,0.539325842696629,0.526881720430108,0.861111111111111
0.568776894289308,24,MD,"+39.20460765,-76.75464655",0.575289575289575,0.92,0.723214285714286,0.337078651685393,0.204301075268817,0.652777777777778
0.725627499036343,25,MA,"+42.3131947,-71.1415795",0.714285714285714,0.86,0.875,0.685393258426966,0.344086021505376,0.875
0.44359797585604,26,MI,"+42.5776667,-83.6585901",0.864864864864865,0,0.714285714285714,0,0.193548387096774,0.888888888888889
0.533238147081478,27,MN,"+44.9860594,-93.30065455",0.984555984555985,0,0.723214285714286,0.483146067415731,0.494623655913979,0.513888888888889
0.406108969413156,28,MS,"+32.37940135,-89.60380555",0.38996138996139,0,0.741071428571429,0.449438202247191,0.731182795698925,0.125
0.371729210246336,29,MO,"+38.6721942,-92.2683694",0.725868725868726,0,0.607142857142857,0.202247191011236,0.354838709677419,0.340277777777778
0.631087648643828,30,MT,"+46.6427197,-111.2529586",0.783783783783784,0,0.607142857142857,0.853932584269663,1,0.541666666666667
0.487871968820682,31,NE,"+41.20635615,-96.6425956",0.965250965250965,0,0.535714285714286,0.775280898876405,0.387096774193548,0.263888888888889
0.413145153710123,32,NV,"+36.192256,-115.2202394",0.94980694980695,0,0,0.910112359550562,0.473118279569893,0.145833333333333
0.619509460529758,33,NH,"+43.0356952,-71.4528247",0.764478764478765,0,0.982142857142857,0.573033707865169,0.494623655913979,0.902777777777778
0.617296625121471,34,NJ,"+40.5688615,-74.31221665",0.444015444015444,0.92,0.75,0.550561797752809,0.365591397849462,0.673611111111111
0.556592032862874,35,NM,"+35.0975423,-106.5775679",0.884169884169884,0,0.330357142857143,0.865168539325843,0.870967741935484,0.388888888888889
0.485199262199081,36,NY,"+40.8495538,-73.9374383",0.355212355212355,0.88,0.732142857142857,0.235955056179775,0.0967741935483871,0.611111111111111
0.53764161426222,37,NC,"+35.5767676,-79.8026261",0.332046332046332,0.84,0.776785714285714,0.471910112359551,0.430107526881721,0.375
0.549529040898196,38,ND,"+47.0092826,-98.9638091",0.957528957528958,0,0.803571428571429,0.359550561797753,0.870967741935484,0.305555555555556
0.405314825258646,39,OH,"+40.6925694,-82.79418245",0.853281853281853,0,0.633928571428572,0.146067415730337,0,0.798611111111111
0.473670090571595,40,OK,"+35.54619015,-97.12430815",0.617760617760618,0,0.642857142857143,0.741573033707865,0.763440860215054,0.0763888888888889
0.426955509009242,41,OR,"+45.28110475,-122.79507175",0.312741312741313,0.68,0.160714285714286,0.539325842696629,0.473118279569893,0.395833333333333
0.423206950413366,42,PA,"+40.33660705,-76.36265235",0.714285714285714,0,0.678571428571429,0.247191011235955,0.10752688172043,0.791666666666667
0.462019216765049,44,RI,"+41.7865611,-71.4347252",0.525096525096525,0,0.830357142857143,0.426966292134832,0.225806451612903,0.763888888888889
0.551199298182354,45,SC,"+34.0491507,-81.0056196",0.320463320463321,0.82,0.785714285714286,0.561797752808989,0.548387096774194,0.270833333333333
0.614482733717511,46,SD,"+44.0164999,-98.00891415",0.980694980694981,0,0.75,0.820224719101124,0.795698924731183,0.340277777777778
0.410185915022359,47,TN,"+35.9327848,-86.5921349",0.451737451737452,0,0.651785714285714,0.449438202247191,0.505376344086022,0.402777777777778
0.567787002556847,48,TX,"+30.6877147,-97.0831039",0.590733590733591,0.98,0.526785714285714,0.662921348314607,0.56989247311828,0.0763888888888889
0.645900620563089,49,UT,"+40.63132825,-111.8809822",0.945945945945946,0,0.464285714285714,0.966292134831461,0.741935483870968,0.756944444444445
