row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
63213,"TX, Denton, 48121020111",48121020111,"+33.1724794,-096.8726592",0.438788938286882,0.51414687564164,0.363431000932123
63214,"TX, Denton, 48121020112",48121020112,"+33.1729111,-096.8899875",0.429367225692479,0.51414687564164,0.344587575743319
63215,"TX, Denton, 48121020113",48121020113,"+33.1786570,-096.9134385",0.455538307651242,0.51414687564164,0.396929739660845
63216,"TX, Denton, 48121020114",48121020114,"+33.1622949,-096.9335974",0.459317916859726,0.51414687564164,0.404488958077812
63217,"TX, Denton, 48121020115",48121020115,"+33.1496551,-096.9806746",0.453593497539489,0.51414687564164,0.393040119437337
63218,"TX, Denton, 48121020202",48121020202,"+33.2925807,-097.2957797",0.476115752615321,0.51414687564164,0.438084629589002
63219,"TX, Denton, 48121020203",48121020203,"+33.3521433,-097.1461453",0.458258580022746,0.51414687564164,0.402370284403852
63220,"TX, Denton, 48121020204",48121020204,"+33.3900076,-097.2403075",0.463157532076404,0.51414687564164,0.412168188511169
63221,"TX, Denton, 48121020205",48121020205,"+33.3225703,-097.0791184",0.441573063205567,0.51414687564164,0.368999250769494
63222,"TX, Denton, 48121020303",48121020303,"+33.0979285,-097.1759719",0.474150940500836,0.51414687564164,0.434155005360031
63223,"TX, Denton, 48121020305",48121020305,"+33.0159833,-097.1353834",0.462742875173622,0.51414687564164,0.411338874705603
63224,"TX, Denton, 48121020306",48121020306,"+33.0012748,-097.2556490",0.460765754134378,0.51414687564164,0.407384632627116
63225,"TX, Denton, 48121020307",48121020307,"+33.0314845,-097.2088044",0.464563057422201,0.51414687564164,0.414979239202762
63226,"TX, Denton, 48121020308",48121020308,"+33.0439289,-097.3331914",0.472479234657149,0.51414687564164,0.430811593672657
63227,"TX, Denton, 48121020309",48121020309,"+33.1458708,-097.3229658",0.475278745731781,0.51414687564164,0.436410615821923
63228,"TX, Denton, 48121020310",48121020310,"+33.1723214,-097.2329479",0.451240954295128,0.51414687564164,0.388335032948616
63229,"TX, Denton, 48121020401",48121020401,"+33.2684965,-097.1838367",0.4674310368908,0.51414687564164,0.42071519813996
63230,"TX, Denton, 48121020402",48121020402,"+33.2428384,-097.1595552",0.454041234677558,0.51414687564164,0.393935593713477
63231,"TX, Denton, 48121020403",48121020403,"+33.2242943,-097.1525178",0.446651263976013,0.51414687564164,0.379155652310386
63232,"TX, Denton, 48121020503",48121020503,"+33.2455592,-097.1250549",0.421111783718891,0.51414687564164,0.328076691796143
63233,"TX, Denton, 48121020504",48121020504,"+33.2744955,-097.1187172",0.429158743279392,0.51414687564164,0.344170610917144
63234,"TX, Denton, 48121020505",48121020505,"+33.2423511,-097.1074231",0.453707355093499,0.51414687564164,0.393267834545359
63235,"TX, Denton, 48121020506",48121020506,"+33.2537974,-097.0711428",0.428509447498411,0.51414687564164,0.342872019355181
63236,"TX, Denton, 48121020601",48121020601,"+33.2275245,-097.1207277",0.4379642403281,0.51414687564164,0.36178160501456
63237,"TX, Denton, 48121020602",48121020602,"+33.2227402,-097.1002798",0.456574565254301,0.51414687564164,0.399002254866962
63238,"TX, Denton, 48121020700",48121020700,"+33.2169339,-097.1507821",0.411138477433774,0.51414687564164,0.308130079225908
63239,"TX, Denton, 48121020800",48121020800,"+33.1983699,-097.1772900",0.454224329933333,0.51414687564164,0.394301784225025
63240,"TX, Denton, 48121020900",48121020900,"+33.2021005,-097.1584317",0.4316143737686,0.51414687564164,0.34908187189556
63241,"TX, Denton, 48121021000",48121021000,"+33.2055731,-097.1468638",0.4372033949165,0.51414687564164,0.36025991419136
63242,"TX, Denton, 48121021100",48121021100,"+33.2104184,-097.1348763",0.410246849696621,0.51414687564164,0.306346823751602
63243,"TX, Denton, 48121021201",48121021201,"+33.2014931,-097.1005188",0.451839475761483,0.51414687564164,0.389532075881325
