row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
66450,"TX, Travis, 48453001841",48453001841,"+30.4276109,-097.6309958",0.413287717213267,0.325143070639975,0.660321747714313,0.209250346230745,0.498162106183933,0.398720709102013,0.404199598912736,0.397216441709151
66451,"TX, Travis, 48453001842",48453001842,"+30.3931926,-097.6203557",0.476337768607853,0.470188931498828,0.73527393592706,0.375094699442002,0.521499928869872,0.401072731507823,0.391461929785155,0.439772223224229
66452,"TX, Travis, 48453001843",48453001843,"+30.3885474,-097.6999973",0.396477588571817,0.354880447624299,0.452401042771828,0.420541606706273,0.554219284871549,0.40149420920711,0.270308557724438,0.321497971097223
66453,"TX, Travis, 48453001844",48453001844,"+30.3959573,-097.7013525",0.429317275469481,0.425306752479097,0.571784283812742,0.441794617816771,0.554849376878916,0.390500420267673,0.288833000021032,0.332152477010136
66454,"TX, Travis, 48453001845",48453001845,"+30.3924928,-097.6904358",0.397601493786281,0.313838249587975,0.526655235888282,0.385505295634925,0.470193509345686,0.393833925707487,0.322514727126988,0.370669513212624
66455,"TX, Travis, 48453001846",48453001846,"+30.4360238,-097.7137662",0.374735563812305,0.303198326456518,0.389196753002327,0.294386364014536,0.482013111094416,0.405228178586346,0.354282194180738,0.394844019351253
66456,"TX, Travis, 48453001847",48453001847,"+30.4283475,-097.6904419",0.385311842245319,0.320352424469383,0.503494875155279,0.242465195609153,0.539050961868695,0.392781705157519,0.355997921664182,0.343039811793025
66457,"TX, Travis, 48453001848",48453001848,"+30.4128065,-097.6797885",0.403233323256489,0.295934886744627,0.546369660696074,0.330845708366526,0.553296501808879,0.40163273684254,0.351356094843424,0.343197673493349
66458,"TX, Travis, 48453001849",48453001849,"+30.3946433,-097.7201274",0.423517487820899,0.300377685401363,0.565397196036467,0.437139377897429,0.542546230758906,0.397500104967257,0.370287754511171,0.351374065173699
66459,"TX, Travis, 48453001850",48453001850,"+30.4119050,-097.7017858",0.416267408010746,0.369833527272691,0.56648234814198,0.386053965582636,0.53214647531048,0.392575005418249,0.34428111602938,0.322499418319803
66460,"TX, Travis, 48453001851",48453001851,"+30.4623101,-097.6772253",0.408254998696959,0.316494172923101,0.608611732554358,0.26730615567962,0.487646946560744,0.40383700743905,0.390085738115331,0.38380323760651
66461,"TX, Travis, 48453001853",48453001853,"+30.4434556,-097.6799551",0.361106261649653,0.314882402972686,0.473587905705881,0.225010276423758,0.495920365574108,0.393777925174015,0.290314098105031,0.334250857592091
66462,"TX, Travis, 48453001854",48453001854,"+30.4053321,-097.4502829",0.459966060234755,0.431685693378198,0.564554634727923,0.505460251434838,0.476168542552323,0.395634784968075,0.398509835976187,0.447748678605744
66463,"TX, Travis, 48453001855",48453001855,"+30.4750263,-097.6114913",0.397313285225205,0.367336619955281,0.456112345048048,0.285842430397016,0.429868218532812,0.397606593225577,0.413888213873487,0.430538575544218
66464,"TX, Travis, 48453001856",48453001856,"+30.3634692,-097.5762338",0.440637910155031,0.356584946171111,0.493189346305645,0.512232669671471,0.485626072069481,0.394962778566415,0.391331078773926,0.450538479527169
66465,"TX, Travis, 48453001857",48453001857,"+30.4619546,-097.6542643",0.393516949601494,0.347694663892813,0.50260067709152,0.237953479868819,0.504908448687011,0.396793111791989,0.385808263679289,0.378860002199017
66466,"TX, Travis, 48453001858",48453001858,"+30.4594972,-097.5774418",0.383641442832376,0.294572248417668,0.337577240344007,0.367121434634456,0.421899787713732,0.401273154469722,0.425229386863985,0.437816847383065
66467,"TX, Travis, 48453001859",48453001859,"+30.4467544,-097.5282758",0.424740347046227,0.369019480378869,0.465929704782124,0.529298077854427,0.416974205831394,0.407671570283609,0.333667519782354,0.450621870410812
66468,"TX, Travis, 48453001860",48453001860,"+30.4529710,-097.6463768",0.429110032538423,0.52272046651431,0.598389816412537,0.287607740737812,0.5143476746926,0.397842384945458,0.334717711950064,0.348144432516179
66469,"TX, Travis, 48453001861",48453001861,"+30.4637063,-097.6390092",0.373819941314664,0.374096965030875,0.453198544787885,0.225315781419779,0.472823065144803,0.398092913647831,0.353741869746438,0.339470449425037
66470,"TX, Travis, 48453001862",48453001862,"+30.4530833,-097.6266893",0.389511662866629,0.358319756986405,0.48894229570511,0.268352229480537,0.460454550037993,0.398496706968127,0.378760357488258,0.373255743399974
66471,"TX, Travis, 48453001863",48453001863,"+30.4324731,-097.6766288",0.442006862889723,0.41936722942192,0.547949823466312,0.432462263563263,0.610614018669686,0.391552640817641,0.339820901388,0.352281162901242
66472,"TX, Travis, 48453001864",48453001864,"+30.4490688,-097.7018500",0.408737528386563,0.331071411996181,0.456141928083946,0.395314991505587,0.537389540774997,0.405036597813943,0.336972635841849,0.399235592689442
66473,"TX, Travis, 48453001901",48453001901,"+30.2502689,-097.7862402",0.33880262013036,0.285964380637816,0.387535181744643,0.227113046681534,0.381478262949854,0.401349404794308,0.326274437647908,0.361903626456455
66474,"TX, Travis, 48453001908",48453001908,"+30.2757842,-097.8781925",0.428967996227468,0.305687461650758,0.594866412352624,0.417707690227216,0.44914942162719,0.406100607949904,0.396620392495076,0.432643987289504
66475,"TX, Travis, 48453001910",48453001910,"+30.2700666,-097.7980310",0.382484261473687,0.304683808815332,0.50726445702175,0.302745186108484,0.429101924890061,0.40869726426509,0.356162613454177,0.368734575760912
66476,"TX, Travis, 48453001911",48453001911,"+30.2581392,-097.7859887",0.361516535903141,0.279719409549065,0.38260032740617,0.269512910660335,0.471872568395802,0.405036597813943,0.350323951091056,0.371549986405614
