row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
23877,"IL, Will, 17197880602",17197880602,"+41.5905329,-088.0546026",0.469037745652219,0.473516490698493,0.359100122648002,0.703005691382147,0.507889276977119,0.301099216392213,0.510082813866571,0.428570607600991
23878,"IL, Will, 17197880701",17197880701,"+41.5769955,-088.0446930",0.4414689702249,0.387579575624914,0.419629364477216,0.578045905807569,0.464948127112167,0.29389283195336,0.509276571245512,0.436910415353564
23879,"IL, Will, 17197880702",17197880702,"+41.5641840,-088.0549645",0.53084248412757,0.597066545718622,0.595635201882637,0.639861650447129,0.611656371031904,0.28717378975337,0.503706257835315,0.480797572224014
23880,"IL, Will, 17197880901",17197880901,"+41.5768926,-088.1350159",0.438139667392487,0.419191471444892,0.365660217388681,0.446161982414741,0.533193406658927,0.300450789162541,0.540083369552038,0.462236435125588
23881,"IL, Will, 17197880903",17197880903,"+41.5578770,-088.1128638",0.511831808692969,0.530475070667556,0.598760929542676,0.570762714634993,0.635545770434159,0.292045646389854,0.508469336936111,0.446763192245435
23882,"IL, Will, 17197880905",17197880905,"+41.5565837,-088.0960283",0.455222678457024,0.468869284473551,0.435403558325122,0.508139966838079,0.610145446453164,0.318002535311159,0.45612703462107,0.389870923177023
23883,"IL, Will, 17197881001",17197881001,"+41.6201664,-088.0022639",0.438633600495413,0.367068120166764,0.444953347476097,0.448391361228075,0.495229144379878,0.29616527465371,0.527845935426735,0.490782020136629
23884,"IL, Will, 17197881002",17197881002,"+41.6169916,-087.9662412",0.401954454437395,0.321678611437298,0.454387135656473,0.315123867994848,0.432668594951724,0.30901002859421,0.523561841794538,0.457251100632673
23885,"IL, Will, 17197881005",17197881005,"+41.6288671,-087.9407185",0.415617095660534,0.374391973126116,0.43901630621703,0.36806663067374,0.500684473577347,0.297529919232519,0.512067182236484,0.417563184560504
23886,"IL, Will, 17197881006",17197881006,"+41.6364949,-087.9214915",0.406581958560328,0.320508580722828,0.439631145643456,0.385652968423609,0.490654122199102,0.30564999658591,0.490811334340071,0.413165562007324
23887,"IL, Will, 17197881007",17197881007,"+41.5769661,-087.9417934",0.390664467897091,0.281831186248252,0.322996381164925,0.441168302674237,0.384342611694225,0.292974076286884,0.543386683415197,0.467952033795913
23888,"IL, Will, 17197881009",17197881009,"+41.5762033,-088.0160778",0.425465590589084,0.254942870495264,0.295336243791602,0.597402541672217,0.50068930165715,0.326762197704725,0.535492844222538,0.467633134580093
23889,"IL, Will, 17197881010",17197881010,"+41.5728670,-087.9831252",0.405769016556803,0.300639134341699,0.313460760675973,0.529331508067891,0.405475600544467,0.305240308472617,0.523065997624145,0.463169806170826
23890,"IL, Will, 17197881011",17197881011,"+41.6220049,-087.9210399",0.405915233759486,0.380495291719092,0.363685396463409,0.402754899393502,0.483475592816768,0.315509869914479,0.493368898570958,0.402116687438193
23891,"IL, Will, 17197881012",17197881012,"+41.6072708,-087.9301628",0.384724233961081,0.331719268162426,0.29768635438612,0.353716589181355,0.470156096652816,0.314182709449092,0.501022749185147,0.42458587071061
23892,"IL, Will, 17197881105",17197881105,"+41.5366205,-087.9389322",0.396029722349669,0.286130206932639,0.299572330765813,0.327476429420088,0.552095102489007,0.293801462661906,0.554585819847697,0.458546704330531
23893,"IL, Will, 17197881107",17197881107,"+41.5261192,-087.9726226",0.378771290491209,0.327776388063036,0.296117808015084,0.358659681990599,0.427652727608414,0.321919625257676,0.503395859384649,0.415876943119004
23894,"IL, Will, 17197881108",17197881108,"+41.5375183,-088.0001330",0.405967992588768,0.272418518953371,0.323233352756233,0.463208314833785,0.443606510804061,0.314044181813662,0.548824110587729,0.476440958372539
23895,"IL, Will, 17197881109",17197881109,"+41.4798500,-088.0031899",0.367784696855454,0.274383121932266,0.251710074417705,0.335147238871836,0.454852886341823,0.294379152375614,0.536005547094725,0.428014856954206
23896,"IL, Will, 17197881111",17197881111,"+41.5118479,-087.9797839",0.381298309017455,0.332970790843725,0.298583749938333,0.320036603210372,0.503851463939124,0.295121896293238,0.505623191398055,0.41290046749934
23897,"IL, Will, 17197881112",17197881112,"+41.4943672,-087.9880978",0.374500643131217,0.275978585256415,0.281763811899125,0.345605358841442,0.428539739746668,0.307318223004066,0.544277219545223,0.438021563625583
23898,"IL, Will, 17197881113",17197881113,"+41.4834796,-087.9365589",0.385505684510887,0.296537021802973,0.287260929499356,0.319822230668387,0.535743324624691,0.298770773158391,0.533848624953515,0.426556886868896
23899,"IL, Will, 17197881115",17197881115,"+41.5077809,-087.9455578",0.369217711918132,0.263872393294026,0.199048494000092,0.306058069692331,0.563879618171431,0.316098517173122,0.511755792097477,0.423811098998445
23900,"IL, Will, 17197881116",17197881116,"+41.5072469,-087.9204655",0.385796366786098,0.237507250513773,0.235193081936618,0.40074432944965,0.560736958266729,0.320791604439806,0.517679146556994,0.427922196339114
23901,"IL, Will, 17197881200",17197881200,"+41.5480283,-088.0362643",0.549655600919668,0.629903192174104,0.787766577291754,0.572614601858482,0.569274407369281,0.300932356491638,0.520059198574881,0.467038872677535
23902,"IL, Will, 17197881301",17197881301,"+41.5412829,-088.0656969",0.510946142632832,0.543647978469502,0.568761832742968,0.560449854475438,0.68407555501028,0.287483616767207,0.505568648539312,0.426635512425115
23903,"IL, Will, 17197881302",17197881302,"+41.5387338,-088.0767344",0.506732108238784,0.52009693057943,0.572632089122706,0.540391543726979,0.686622219251982,0.302994295247206,0.491733604497002,0.432654075246184
23904,"IL, Will, 17197881401",17197881401,"+41.5470050,-088.0913313",0.508894482052415,0.608496370744249,0.550175657773281,0.513440011589834,0.672376795656266,0.298770773158391,0.49474536198797,0.424256403456914
23905,"IL, Will, 17197881402",17197881402,"+41.5472759,-088.1080388",0.468853701292958,0.495703676133302,0.466441317297963,0.494151386990609,0.684688447932311,0.291355955609203,0.465181149172449,0.384453975914871
23906,"IL, Will, 17197881500",17197881500,"+41.5433216,-088.1181961",0.473522850563951,0.435457984482736,0.589748400403603,0.510000401590528,0.576382986738024,0.314180594093652,0.467707971064772,0.421181615574343
23907,"IL, Will, 17197881601",17197881601,"+41.5333382,-088.1330270",0.445049399937979,0.450597977264167,0.409740249571578,0.559959472072268,0.581464777806634,0.288278873664761,0.44230488252719,0.382999566659254
23908,"IL, Will, 17197881603",17197881603,"+41.5405416,-088.1331334",0.475791954758216,0.506014805035958,0.537164609582869,0.553672591444728,0.601780327683189,0.283913919996743,0.465306101903388,0.382691327660635
23909,"IL, Will, 17197881604",17197881604,"+41.5477116,-088.1338305",0.461213331794795,0.383781919748394,0.491849783400135,0.526966258896501,0.634959546273371,0.278963100242348,0.483146575154133,0.428826138848685
23910,"IL, Will, 17197881700",17197881700,"+41.5342958,-088.1125367",0.438069017111372,0.368082602972515,0.506573461553384,0.428048042010164,0.606969671606403,0.29905077582575,0.470509490627493,0.387249075183897
23911,"IL, Will, 17197881800",17197881800,"+41.5388538,-088.0946565",0.52966193397247,0.522731326084963,0.769169795774397,0.512217775137402,0.731064939007277,0.284465771293471,0.476910838867269,0.411073091642509
23912,"IL, Will, 17197881900",17197881900,"+41.5317188,-088.0883414",0.558864309373131,0.595306211379759,0.858980251429639,0.581188037214564,0.741187580838353,0.283339984042633,0.470266526984001,0.381781573722965
23913,"IL, Will, 17197882000",17197882000,"+41.5255068,-088.0796335",0.562710818803915,0.611125689882458,0.811519148295472,0.583136716312087,0.764779774467173,0.300569826722322,0.480588019234905,0.387256556712989
23914,"IL, Will, 17197882100",17197882100,"+41.5320328,-088.0639941",0.529785476951522,0.551453397412789,0.805167802289648,0.46882553267347,0.729896496050607,0.293021375177134,0.47591617546146,0.384217559595542
