row#,Name,FIPS,Source,ToxPi Score,Temperature,Storms,Wildfires,Droughts,Flooding,Precipitation
64199,"TX, Harris, 48201332800",48201332800,"+29.6897770,-095.3077088",0.350196471697063,0.327938876385179,0.565661169722421,0.422311610904617,0.595837023660373,9.58182191499555e-05,0.189334331290639
64200,"TX, Harris, 48201332900",48201332900,"+29.6904192,-095.2904729",0.32568866013732,0.327938876385179,0.562429581071392,0.281745826977236,0.592587526880324,9.58182191499555e-05,0.189334331290639
64201,"TX, Harris, 48201333000",48201333000,"+29.6815377,-095.2852604",0.323905567508688,0.327938876385179,0.551731025299601,0.281745826977236,0.592587526880324,9.58182191499555e-05,0.189334331290639
64202,"TX, Harris, 48201333100",48201333100,"+29.6756473,-095.2778538",0.322258191360646,0.327938876385179,0.541846768411349,0.281745826977236,0.592587526880324,9.58182191499555e-05,0.189334331290639
64203,"TX, Harris, 48201333201",48201333201,"+29.6693964,-095.2699523",0.321586437459864,0.327938876385179,0.537816245006658,0.281745826977236,0.592587526880324,9.58182191499555e-05,0.189334331290639
64204,"TX, Harris, 48201333202",48201333202,"+29.6599820,-095.2646206",0.356112416369766,0.327938876385179,0.573583939362901,0.453134006080405,0.592587526880324,9.58182191499555e-05,0.189334331290639
64205,"TX, Harris, 48201333300",48201333300,"+29.6382917,-095.2546360",0.381178615824037,0.327938876385179,0.669794120659633,0.485460770443512,0.614447777946108,9.58182191499555e-05,0.189334331290639
64206,"TX, Harris, 48201333500",48201333500,"+29.6670103,-095.2823495",0.325912293583324,0.327938876385179,0.563771381747414,0.281745826977236,0.592587526880324,9.58182191499555e-05,0.189334331290639
64207,"TX, Harris, 48201333600",48201333600,"+29.6589549,-095.2992029",0.398047738331748,0.327938876385179,0.607897162757349,0.639050682129595,0.623969559208577,9.58182191499555e-05,0.189334331290639
64208,"TX, Harris, 48201333700",48201333700,"+29.6350072,-095.2943137",0.408524482537148,0.327938876385179,0.682771689030011,0.624268022352841,0.626738157945067,9.58182191499555e-05,0.189334331290639
64209,"TX, Harris, 48201333800",48201333800,"+29.6121927,-095.2837799",0.409858268458541,0.327938876385179,0.683918877394244,0.631123549516967,0.626738157945067,9.58182191499555e-05,0.189334331290639
64210,"TX, Harris, 48201333901",48201333901,"+29.6147732,-095.2606410",0.395236262043441,0.327938876385179,0.649149851480078,0.587634228398644,0.617264466486954,9.58182191499555e-05,0.189334331290639
64211,"TX, Harris, 48201333902",48201333902,"+29.6182997,-095.2401055",0.386708607375826,0.327938876385179,0.640504967735327,0.547929872678551,0.614447777946108,9.58182191499555e-05,0.189334331290639
64212,"TX, Harris, 48201334001",48201334001,"+29.6164272,-095.2262094",0.347915713697335,0.327938876385179,0.566654716787873,0.392794376210977,0.610676163290195,9.58182191499555e-05,0.189334331290639
64213,"TX, Harris, 48201334002",48201334002,"+29.6083417,-095.2142568",0.362749441069157,0.327938876385179,0.565958209566732,0.482493247663048,0.610676163290195,9.58182191499555e-05,0.189334331290639
64214,"TX, Harris, 48201334003",48201334003,"+29.6051658,-095.2300861",0.376780529916676,0.327938876385179,0.608557820342108,0.520308555316874,0.614447777946108,9.58182191499555e-05,0.189334331290639
64215,"TX, Harris, 48201334100",48201334100,"+29.6545097,-095.4137206",0.41913483158959,0.327938876385179,0.718585475775889,0.649155371967702,0.62969911589898,9.58182191499555e-05,0.189334331290639
64216,"TX, Harris, 48201340100",48201340100,"+29.5914701,-095.1839654",0.413383775313601,0.327938876385179,0.653293045170542,0.698964417525901,0.610676163290195,9.58182191499555e-05,0.189334331290639
64217,"TX, Harris, 48201340201",48201340201,"+29.6105391,-095.1620000",0.41883738817635,0.327938876385179,0.684661477005019,0.700317662867918,0.610676163290195,9.58182191499555e-05,0.189334331290639
64218,"TX, Harris, 48201340202",48201340202,"+29.6148694,-095.1253198",0.407255317545714,0.327938876385179,0.594822288231077,0.720664427858042,0.610676163290195,9.58182191499555e-05,0.189334331290639
64219,"TX, Harris, 48201340203",48201340203,"+29.6085889,-095.1010362",0.409963468816703,0.327938876385179,0.606386356652668,0.725349267062385,0.610676163290195,9.58182191499555e-05,0.189334331290639
