ToxPi Score,FIPS,Name,Source,Sectors Vulnerable to Disruption!1!0x88cceeff,Costs of Climate Disasters!1!0x44aa99ff
0.645205565405671,48059030102,"TX, Callahan, 48059030102","32.3011068,-99.5224739",0.789528437478612,0.500882693332731
0.647681659262723,48059030200,"TX, Callahan, 48059030200","32.3136928,-99.2834471",0.789528437478612,0.505834881046834
0.705944794092398,48077030200,"TX, Clay, 48077030200","33.8275374,-98.1839936",0.973896379440148,0.437993208744648
0.734691837855743,48077030301,"TX, Clay, 48077030301","33.9618271,-98.2192715",0.973896379440148,0.495487296271337
0.725534349754909,48077030302,"TX, Clay, 48077030302","33.6448014,-98.1916271",0.973896379440148,0.47717232006967
0.656436115171872,48083950300,"TX, Coleman, 48083950300","31.8284934,-99.393105",0.838683183902539,0.474189046441206
0.625076995347851,48083950600,"TX, Coleman, 48083950600","31.9558857,-99.4506778",0.838683183902539,0.411470806793162
0.645368787464903,48083950700,"TX, Coleman, 48083950700","31.6497778,-99.4663176",0.838683183902539,0.452054391027266
0.780592478289072,48093950100,"TX, Comanche, 48093950100","32.110318,-98.5976725",0.993607555950996,0.567577400627149
0.783431867884167,48093950200,"TX, Comanche, 48093950200","31.9169411,-98.6637063",0.993607555950996,0.573256179817338
0.771500951704922,48093950300,"TX, Comanche, 48093950300","31.9056761,-98.5847547",0.993607555950996,0.549394347458848
0.740996287220096,48093950400,"TX, Comanche, 48093950400","31.8550383,-98.3741211",0.993607555950996,0.488385018489196
0.723167954699163,48101950100,"TX, Cottle, 48101950100","34.0919063,-100.2764416",0.988419683799877,0.45791622559845
0.655542319495113,48133950100,"TX, Eastland, 48133950100","32.4328061,-98.5750045",0.863992882075149,0.447091756915078
0.689948861389925,48133950200,"TX, Eastland, 48133950200","32.417369,-98.8061548",0.863992882075149,0.5159048407047
0.664482641987173,48133950300,"TX, Eastland, 48133950300","32.3922949,-99.014021",0.863992882075149,0.464972401899197
0.629720922694834,48133950400,"TX, Eastland, 48133950400","32.1532269,-98.9899396",0.863992882075149,0.395448963314519
0.635807648495898,48133950500,"TX, Eastland, 48133950500","32.2509271,-98.7127383",0.863992882075149,0.407622414916647
0.72435694360832,48151950300,"TX, Fisher, 48151950300","32.6420058,-100.3982035",0.987228800219013,0.461485086997626
0.729175178703927,48151950400,"TX, Fisher, 48151950400","32.854216,-100.3931655",0.987228800219013,0.471121557188841
0.638867888012923,48155950100,"TX, Foard, 48155950100","33.9633063,-99.8168285",0.958455957839984,0.319279818185863
0.668240218075763,48197950100,"TX, Hardeman, 48197950100","34.2899036,-99.7456973",0.987981657655191,0.348498778496334
