row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child Health,Access to Care
23844,"IL, Will, 17197880121",17197880121,"41.6717718,-88.1190198",0.257822626492291,0.157731739306585,0.451125707078337,0.0694348848350027,0.289202184693741,0.300685422086315,0.184106729928058,0.352471717517998
23845,"IL, Will, 17197880202",17197880202,"41.6691419,-88.0595556",0.392104697490568,0.468869097076778,0.527236809026865,0.362426972231552,0.548936134566412,0.300685422086315,0.184106729928058,0.352471717517998
23846,"IL, Will, 17197880203",17197880203,"41.6473647,-88.0887238",0.424665114315907,0.537462146442624,0.578570181715473,0.399407518349862,0.619952084171023,0.300685422086315,0.184106729928058,0.352471717517998
23847,"IL, Will, 17197880204",17197880204,"41.6439708,-88.114813",0.353852488770603,0.350635527752408,0.387378126684995,0.457642517716633,0.444047379707814,0.300685422086315,0.184106729928058,0.352471717517998
23848,"IL, Will, 17197880303",17197880303,"41.7179438,-88.1770495",0.249436398317912,0.0539735076599806,0.449250319545052,0.166261033318833,0.239306058169146,0.300685422086315,0.184106729928058,0.352471717517998
23849,"IL, Will, 17197880304",17197880304,"41.7183201,-88.157616",0.238468255848829,0.10673844822732,0.435826287783935,0.10148175475885,0.187967430639324,0.300685422086315,0.184106729928058,0.352471717517998
23850,"IL, Will, 17197880305",17197880305,"41.7020901,-88.1765105",0.245501896688522,0.147843463094069,0.4384502707567,0.0910637688660804,0.203891904570433,0.300685422086315,0.184106729928058,0.352471717517998
23851,"IL, Will, 17197880306",17197880306,"41.6885469,-88.1753234",0.256057064592248,0.259972395228907,0.410783430972532,0.0538794883513482,0.230500268060582,0.300685422086315,0.184106729928058,0.352471717517998
23852,"IL, Will, 17197880307",17197880307,"41.7171871,-88.19878",0.256607500455637,0.134878834282104,0.443538380384426,0.100416278928908,0.280155140061654,0.300685422086315,0.184106729928058,0.352471717517998
23853,"IL, Will, 17197880308",17197880308,"41.6618541,-88.1708951",0.248552886208082,0.133402459708708,0.436095314269998,0.101787356353485,0.231321203592012,0.300685422086315,0.184106729928058,0.352471717517998
23854,"IL, Will, 17197880309",17197880309,"41.6953525,-88.1955544",0.258985088738491,0.26300067981899,0.437280590382511,0.0753404291637529,0.200010052271813,0.300685422086315,0.184106729928058,0.352471717517998
23855,"IL, Will, 17197880310",17197880310,"41.6602944,-88.2175072",0.26170671830663,0.251835167929024,0.461177160427208,0.0527286643283097,0.2289421659295,0.300685422086315,0.184106729928058,0.352471717517998
23856,"IL, Will, 17197880312",17197880312,"41.7030016,-88.2195565",0.217747832326934,0.0552370096204687,0.408950931719635,0.071191405712272,0.151591609703793,0.300685422086315,0.184106729928058,0.352471717517998
23857,"IL, Will, 17197880313",17197880313,"41.7124607,-88.248762",0.252351634624979,0.132283161776319,0.480839487517337,0.0516934733410789,0.264381450207747,0.300685422086315,0.184106729928058,0.352471717517998
23858,"IL, Will, 17197880314",17197880314,"41.6691831,-88.2469451",0.242279062555588,0.127716700886511,0.469130986971698,0.0652831082160025,0.196558772282536,0.300685422086315,0.184106729928058,0.352471717517998
23859,"IL, Will, 17197880404",17197880404,"41.6141399,-88.2295848",0.299736297503,0.318299491165786,0.496197390830449,0.137259166671255,0.309134164321137,0.300685422086315,0.184106729928058,0.352471717517998
23860,"IL, Will, 17197880408",17197880408,"41.6299888,-88.1510035",0.307811746713791,0.239364952927685,0.535350491889161,0.109801827001966,0.432901085645356,0.300685422086315,0.184106729928058,0.352471717517998
23861,"IL, Will, 17197880410",17197880410,"41.6086733,-88.1533364",0.307330123051577,0.300122916766808,0.516506941060964,0.0926908908699459,0.404726243130948,0.300685422086315,0.184106729928058,0.352471717517998
23862,"IL, Will, 17197880411",17197880411,"41.6147638,-88.1834185",0.358023215322979,0.351226077581767,0.433596097203813,0.45482602734446,0.429250435598445,0.300685422086315,0.184106729928058,0.352471717517998
23863,"IL, Will, 17197880412",17197880412,"41.5614506,-88.1525071",0.364105174892861,0.404361828507076,0.54736310933209,0.273865832640453,0.485881584238038,0.300685422086315,0.184106729928058,0.352471717517998
23864,"IL, Will, 17197880414",17197880414,"41.5608689,-88.171589",0.351373017572782,0.335603974537689,0.521793896352302,0.309117389556685,0.455831993030425,0.300685422086315,0.184106729928058,0.352471717517998
23865,"IL, Will, 17197880415",17197880415,"41.5811246,-88.157205",0.354157318838643,0.394054673927225,0.53645389037548,0.208613009267162,0.502715788768262,0.300685422086315,0.184106729928058,0.352471717517998
23866,"IL, Will, 17197880416",17197880416,"41.5582054,-88.1871785",0.317327103048153,0.311672972731705,0.549647884996341,0.135384259590659,0.387320734485994,0.300685422086315,0.184106729928058,0.352471717517998
23867,"IL, Will, 17197880417",17197880417,"41.5832616,-88.1794028",0.334179383668264,0.314179376077238,0.491573254417819,0.303743206559146,0.392495979091275,0.300685422086315,0.184106729928058,0.352471717517998
23868,"IL, Will, 17197880418",17197880418,"41.5570863,-88.2085971",0.280974863544078,0.165649227135078,0.521751008071915,0.122268169529043,0.319891770540142,0.300685422086315,0.184106729928058,0.352471717517998
23869,"IL, Will, 17197880419",17197880419,"41.5612435,-88.2243595",0.284507051126435,0.178730592541218,0.522819316147008,0.0999041897703308,0.352831389894116,0.300685422086315,0.184106729928058,0.352471717517998
23870,"IL, Will, 17197880420",17197880420,"41.5609236,-88.2469018",0.304792766297976,0.19415355668935,0.553788553520973,0.11569360549312,0.43264977885002,0.300685422086315,0.184106729928058,0.352471717517998
23871,"IL, Will, 17197880421",17197880421,"41.583669,-88.2187763",0.31787736385745,0.342862243952014,0.499737623429664,0.216335644158604,0.3289421659295,0.300685422086315,0.184106729928058,0.352471717517998
23872,"IL, Will, 17197880502",17197880502,"41.6185573,-88.039936",0.349020283791203,0.314625721878498,0.524503655885841,0.309117389556685,0.457631349685029,0.300685422086315,0.184106729928058,0.352471717517998
23873,"IL, Will, 17197880503",17197880503,"41.6313775,-88.1351208",0.381604368014367,0.320187877248038,0.234153896600716,0.747796089400856,0.53182884331859,0.300685422086315,0.184106729928058,0.352471717517998
23874,"IL, Will, 17197880505",17197880505,"41.6322471,-88.1040485",0.403000252121993,0.552871376873794,0.573641928405554,0.267990573154414,0.589234016887817,0.300685422086315,0.184106729928058,0.352471717517998
23875,"IL, Will, 17197880507",17197880507,"41.6202202,-88.1348042",0.306194027681554,0.254300370123672,0.516662898444189,0.085144458699734,0.449986596970915,0.300685422086315,0.184106729928058,0.352471717517998
23876,"IL, Will, 17197880601",17197880601,"41.5890214,-88.0357583",0.317021751551062,0.196247948526029,0.468050982092863,0.366939413795572,0.350650046910602,0.300685422086315,0.184106729928058,0.352471717517998
23877,"IL, Will, 17197880602",17197880602,"41.5905329,-88.0546026",0.42864893803248,0.511148344743763,0.565212431842226,0.5095204532815,0.577397466827503,0.300685422086315,0.184106729928058,0.352471717517998
23878,"IL, Will, 17197880701",17197880701,"41.5770055,-88.0446815",0.370798073592846,0.399094948052216,0.488021325014863,0.433753283152267,0.437453089398204,0.300685422086315,0.184106729928058,0.352471717517998
23879,"IL, Will, 17197880702",17197880702,"41.5642841,-88.0549595",0.507634426603347,0.794907537750555,0.50335193578591,0.688013809888276,0.729903833266318,0.300685422086315,0.184106729928058,0.352471717517998
23880,"IL, Will, 17197880901",17197880901,"41.5769322,-88.1350296",0.387427240623776,0.447169824277091,0.32435574812365,0.63165922393714,0.47154201849618,0.300685422086315,0.184106729928058,0.352471717517998
23881,"IL, Will, 17197880903",17197880903,"41.5574152,-88.1164336",0.464864191604875,0.652674298035392,0.528503962765571,0.602015869257581,0.633591341643211,0.300685422086315,0.184106729928058,0.352471717517998
23882,"IL, Will, 17197880905",17197880905,"41.5565914,-88.0960576",0.424848113443753,0.531082834913855,0.533272359757684,0.451904916606556,0.620412813295805,0.300685422086315,0.184106729928058,0.352471717517998
23883,"IL, Will, 17197881001",17197881001,"41.6201534,-88.002264",0.357522415607508,0.420794220851902,0.491573254417819,0.343705433100782,0.409320131349685,0.300685422086315,0.184106729928058,0.352471717517998
23884,"IL, Will, 17197881002",17197881002,"41.6175171,-87.9622764",0.32734447788142,0.262897676941776,0.466382238092352,0.356155256622744,0.3687123039807,0.300685422086315,0.184106729928058,0.352471717517998
23885,"IL, Will, 17197881005",17197881005,"41.6288605,-87.9407163",0.361481787287368,0.383321774121557,0.458061911697282,0.442012785709959,0.409712169950409,0.300685422086315,0.184106729928058,0.352471717517998
23886,"IL, Will, 17197881006",17197881006,"41.6364949,-87.9214915",0.32631903763725,0.250791405439925,0.455512008481548,0.375083283317457,0.365582696689452,0.300685422086315,0.184106729928058,0.352471717517998
23887,"IL, Will, 17197881007",17197881007,"41.5767794,-87.9418381",0.301856997972069,0.199083961078646,0.485795033369321,0.26532000066076,0.325536121163383,0.300685422086315,0.184106729928058,0.352471717517998
23888,"IL, Will, 17197881009",17197881009,"41.5757865,-88.0172751",0.284985430370007,0.279515474465587,0.512393565078397,0.107544229636196,0.258180873877496,0.300685422086315,0.184106729928058,0.352471717517998
23889,"IL, Will, 17197881010",17197881010,"41.573473,-87.9836488",0.315297382887987,0.319913202908801,0.534867024001163,0.162125775704949,0.352911808068624,0.300685422086315,0.184106729928058,0.352471717517998
23890,"IL, Will, 17197881011",17197881011,"41.6220052,-87.9210406",0.36574327367635,0.420787353993421,0.469856188803696,0.419150482630266,0.413145020774695,0.300685422086315,0.184106729928058,0.352471717517998
23891,"IL, Will, 17197881012",17197881012,"41.6072708,-87.9301627",0.334566763215368,0.346055333145639,0.494524747895358,0.293834556657434,0.370288835276773,0.300685422086315,0.184106729928058,0.352471717517998
23892,"IL, Will, 17197881105",17197881105,"41.5366205,-87.9389322",0.304099822738937,0.327150871747684,0.462767925736106,0.247160107703913,0.254355984452486,0.300685422086315,0.184106729928058,0.352471717517998
23893,"IL, Will, 17197881107",17197881107,"41.5255409,-87.9726658",0.331788179611805,0.336029719763505,0.48584961845345,0.32950459503659,0.333869454496716,0.300685422086315,0.184106729928058,0.352471717517998
23894,"IL, Will, 17197881108",17197881108,"41.5369413,-87.9940417",0.296349772665101,0.175578704498479,0.511578687751045,0.215025136419451,0.335002010454363,0.300685422086315,0.184106729928058,0.352471717517998
23895,"IL, Will, 17197881109",17197881109,"41.4798486,-88.0031914",0.297733241485785,0.249761376667788,0.515859717920579,0.173460566381622,0.307787159898137,0.300685422086315,0.184106729928058,0.352471717517998
23896,"IL, Will, 17197881111",17197881111,"41.5119111,-87.9797031",0.334143955158531,0.349735969291409,0.443401917674104,0.368561029464399,0.340044900147433,0.300685422086315,0.184106729928058,0.352471717517998
23897,"IL, Will, 17197881112",17197881112,"41.494436,-87.9880755",0.298167500394925,0.254938987962397,0.490875345127886,0.219983591121585,0.284110709020239,0.300685422086315,0.184106729928058,0.352471717517998
23898,"IL, Will, 17197881113",17197881113,"41.4834618,-87.9365386",0.312321403122303,0.319913202908801,0.522324151455268,0.176255031413641,0.330493566546039,0.300685422086315,0.184106729928058,0.352471717517998
23899,"IL, Will, 17197881115",17197881115,"41.5077534,-87.9455346",0.290403973148403,0.230183963138704,0.495943960082708,0.196702806578969,0.272733212706072,0.300685422086315,0.184106729928058,0.352471717517998
23900,"IL, Will, 17197881116",17197881116,"41.5072876,-87.9192389",0.27278120538538,0.0898459763642731,0.477451313366768,0.228009074440143,0.276898203994103,0.300685422086315,0.184106729928058,0.352471717517998
23901,"IL, Will, 17197881200",17197881200,"41.5480283,-88.0363145",0.528822316419373,0.927273101828644,0.494980923241292,0.693374227048219,0.748864093285082,0.300685422086315,0.184106729928058,0.352471717517998
23902,"IL, Will, 17197881301",17197881301,"41.5412815,-88.0656874",0.473616072719712,0.792964216800456,0.535553236487354,0.364458809860745,0.785072376357057,0.300685422086315,0.184106729928058,0.352471717517998
23903,"IL, Will, 17197881302",17197881302,"41.5394252,-88.0759403",0.458864947171229,0.76555858460313,0.559941072289211,0.294985380680473,0.754305723093419,0.300685422086315,0.184106729928058,0.352471717517998
23904,"IL, Will, 17197881401",17197881401,"41.5470321,-88.0900669",0.516878587101049,0.801163245826667,0.577614942743218,0.620795224906255,0.781312826698834,0.300685422086315,0.184106729928058,0.352471717517998
23905,"IL, Will, 17197881402",17197881402,"41.5472759,-88.1080388",0.441534231266815,0.532833883826488,0.500466724196242,0.562852061296522,0.657323080016084,0.300685422086315,0.184106729928058,0.352471717517998
23906,"IL, Will, 17197881500",17197881500,"41.5433216,-88.1181961",0.400999225102251,0.443111510914871,0.447222873563124,0.535590196521098,0.543806125184292,0.300685422086315,0.184106729928058,0.352471717517998
23907,"IL, Will, 17197881601",17197881601,"41.5333279,-88.1331868",0.410173449505617,0.506348410665605,0.418799640470312,0.607205590031331,0.5015966358397,0.300685422086315,0.184106729928058,0.352471717517998
23908,"IL, Will, 17197881603",17197881603,"41.5405336,-88.1332456",0.450347079118848,0.705810048960701,0.587011375082543,0.402336888590323,0.620007371665997,0.300685422086315,0.184106729928058,0.352471717517998
23909,"IL, Will, 17197881604",17197881604,"41.547706,-88.1338302",0.369202418371777,0.398847741146903,0.524285315549326,0.342075557929398,0.481944444444445,0.300685422086315,0.184106729928058,0.352471717517998
23910,"IL, Will, 17197881700",17197881700,"41.5342958,-88.1125367",0.357165106230187,0.351363414751385,0.449531042834858,0.430724798881113,0.43127261761158,0.300685422086315,0.184106729928058,0.352471717517998
23911,"IL, Will, 17197881800",17197881800,"41.5388538,-88.0946565",0.461983720265341,0.630679750321026,0.617859745484507,0.436787273758459,0.711295402761024,0.300685422086315,0.184106729928058,0.352471717517998
23912,"IL, Will, 17197881900",17197881900,"41.5317188,-88.0883414",0.507523432315913,0.846326574055635,0.546119349200868,0.54896783749704,0.773986395925479,0.300685422086315,0.184106729928058,0.352471717517998
23913,"IL, Will, 17197882000",17197882000,"41.5255068,-88.0796335",0.519109588063175,0.827600650978184,0.59901229572173,0.59267712503235,0.77721317517759,0.300685422086315,0.184106729928058,0.352471717517998
23914,"IL, Will, 17197882100",17197882100,"41.5320329,-88.0639941",0.479389255301295,0.784978060387154,0.563984267449327,0.381377024266419,0.788121565473797,0.300685422086315,0.184106729928058,0.352471717517998
23915,"IL, Will, 17197882200",17197882200,"41.5328577,-88.0488879",0.505102347852408,0.801163245826667,0.580316904407597,0.526857149150097,0.790115266050127,0.300685422086315,0.184106729928058,0.352471717517998
23916,"IL, Will, 17197882300",17197882300,"41.5199955,-88.0411844",0.490304848530251,0.794543594251066,0.59069586826124,0.490650243104692,0.718980364562391,0.300685422086315,0.184106729928058,0.352471717517998
23917,"IL, Will, 17197882400",17197882400,"41.5191083,-88.0671922",0.480121537442023,0.742362336654604,0.53860610226399,0.51059694178152,0.732021511861681,0.300685422086315,0.184106729928058,0.352471717517998
23918,"IL, Will, 17197882500",17197882500,"41.5160928,-88.080701",0.501120256590772,0.886360358999361,0.495074497671227,0.614925471755254,0.674217598177188,0.300685422086315,0.184106729928058,0.352471717517998
23919,"IL, Will, 17197882601",17197882601,"41.5169533,-88.1081698",0.472960530586913,0.574845324012718,0.556014845166514,0.638126414439813,0.704473260956976,0.300685422086315,0.184106729928058,0.352471717517998
23920,"IL, Will, 17197882602",17197882602,"41.5173008,-88.0949081",0.48464109044048,0.807055010403291,0.597519003777347,0.439077909134459,0.711571840235893,0.300685422086315,0.184106729928058,0.352471717517998
23921,"IL, Will, 17197882701",17197882701,"41.5259115,-88.1081135",0.375328792275154,0.442383623915895,0.507882497768605,0.34815179864434,0.491619756064871,0.300685422086315,0.184106729928058,0.352471717517998
23922,"IL, Will, 17197882702",17197882702,"41.5271036,-88.0961954",0.402000437664085,0.524318979310155,0.590871320317369,0.276781437043318,0.584767457445383,0.300685422086315,0.184106729928058,0.352471717517998
23923,"IL, Will, 17197882801",17197882801,"41.5207296,-88.119828",0.500577087782974,0.823418734163308,0.378422273953282,0.7907372431983,0.674197493633561,0.300685422086315,0.184106729928058,0.352471717517998
23924,"IL, Will, 17197882802",17197882802,"41.5203948,-88.1326867",0.534809944499791,0.863912598625255,0.421872000919851,0.838623085860282,0.781998056560783,0.300685422086315,0.184106729928058,0.352471717517998
23925,"IL, Will, 17197882900",17197882900,"41.5010905,-88.1200044",0.473029941280056,0.704045266331106,0.593265266149877,0.504399561695731,0.672235625251307,0.300685422086315,0.184106729928058,0.352471717517998
23926,"IL, Will, 17197883000",17197883000,"41.505131,-88.0554605",0.50489928308488,0.839109505792195,0.326238933526095,0.829380702498224,0.702301970245275,0.300685422086315,0.184106729928058,0.352471717517998
23927,"IL, Will, 17197883100",17197883100,"41.4832253,-88.0754706",0.50038867534243,0.788878436004312,0.470943991551692,0.709931776508873,0.695702653799759,0.300685422086315,0.184106729928058,0.352471717517998
