row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Status,Housing Composition & Disability,Minority Status & Language,Housing & Transportation,HUD Foreclosure,Undocumented population
23883,"IL, Will, 17197881001",17197881001,"+41.6201664,-088.0022639",0.437065749307467,0.261186630191679,0.400390932517812,0.259231127544211,0.37372066357149,0.628818988173456,0.699046153846154
23884,"IL, Will, 17197881002",17197881002,"+41.6169916,-087.9662412",0.44570681480162,0.223625324751291,0.446966372005623,0.282333743964196,0.414940669625722,0.607328624616732,0.699046153846154
23885,"IL, Will, 17197881005",17197881005,"+41.6288671,-087.9407185",0.431627598547648,0.209332123757868,0.454840029538534,0.420432110903268,0.248720845600991,0.557394327639071,0.699046153846154
23886,"IL, Will, 17197881006",17197881006,"+41.6364949,-087.9214915",0.432190772921564,0.217258274440795,0.406650066512328,0.394230161356654,0.291066201259566,0.584893780113885,0.699046153846154
23887,"IL, Will, 17197881007",17197881007,"+41.5769661,-087.9417934",0.325356845819979,0.282374253325219,0.399577884363218,0.365964655859505,0.20517812752578,0,0.699046153846154
23888,"IL, Will, 17197881009",17197881009,"+41.5762033,-088.0160778",0.300020994086808,0.163440443061146,0.448155723008053,0.188484867330775,0.300998777274719,0,0.699046153846154
23889,"IL, Will, 17197881010",17197881010,"+41.5728670,-087.9831252",0.316622505001958,0.149617819202766,0.508136459781587,0.391662236790989,0.151272360390251,0,0.699046153846154
23890,"IL, Will, 17197881011",17197881011,"+41.6220049,-087.9210399",0.36262675684238,0.209591360536147,0.360723841548494,0.428192167988374,0.478207017135108,0,0.699046153846154
23891,"IL, Will, 17197881012",17197881012,"+41.6072708,-087.9301628",0.302173624523007,0.188456265068222,0.32031393912139,0.382815944406881,0.222409444695395,0,0.699046153846154
23892,"IL, Will, 17197881105",17197881105,"+41.5366205,-087.9389322",0.30390112201455,0.0706434143361738,0.337234942839627,0.214543342686804,0.0101928205598829,0.49174605781866,0.699046153846154
23893,"IL, Will, 17197881107",17197881107,"+41.5261192,-087.9726226",0.300736883347184,0.246410213170072,0.364688172429409,0.223332916961517,0.270943843675952,0,0.699046153846154
23894,"IL, Will, 17197881108",17197881108,"+41.5375183,-088.0001330",0.325573904651659,0.245757031167326,0.319319321775199,0.343019252608554,0.346301668512718,0,0.699046153846154
23895,"IL, Will, 17197881109",17197881109,"+41.4798500,-088.0031899",0.260060738502203,0.156162065543618,0.361311443498963,0.106595987200791,0.237248780923694,0,0.699046153846154
23896,"IL, Will, 17197881111",17197881111,"+41.5118479,-087.9797839",0.302995611787567,0.271552579939038,0.439881337707377,0.323311636936403,0.084181962296432,0,0.699046153846154
23897,"IL, Will, 17197881112",17197881112,"+41.4943672,-087.9880978",0.28758905575457,0.19586506712633,0.363436079418014,0.144964810201258,0.322222223935666,0,0.699046153846154
23898,"IL, Will, 17197881113",17197881113,"+41.4834796,-087.9365589",0.292624249708942,0.305664374998295,0.314809013423121,0.239661521545612,0.196564434440474,0,0.699046153846154
23899,"IL, Will, 17197881115",17197881115,"+41.5077809,-087.9455578",0.211824318867429,0.188488438064287,0.361239301024141,0.0221720202699919,0,0,0.699046153846154
23900,"IL, Will, 17197881116",17197881116,"+41.5072469,-087.9204655",0.244931671465019,0.196100523267062,0.293050625756768,0.229355070300616,0.0520376556195129,0,0.699046153846154
23901,"IL, Will, 17197881200",17197881200,"+41.5480283,-088.0362643",0.75107233016978,0.910035534255052,0.634379109664393,0.830795293623577,0.529993264136731,0.902184625492773,0.699046153846154
23902,"IL, Will, 17197881301",17197881301,"+41.5412829,-088.0656969",0.550470588325196,0.676581078956199,0.507195839020606,0.966890350026507,0.453110108101709,0,0.699046153846154
23903,"IL, Will, 17197881302",17197881302,"+41.5387338,-088.0767344",0.554015626460146,0.780577635727239,0.495991909845132,0.964255639770477,0.384222419571875,0,0.699046153846154
23904,"IL, Will, 17197881401",17197881401,"+41.5470050,-088.0913313",0.533446212525352,0.746856741495692,0.595691021199365,0.845857003552409,0.31322635505849,0,0.699046153846154
23905,"IL, Will, 17197881402",17197881402,"+41.5472759,-088.1080388",0.456748081687303,0.484496725496018,0.525818733801412,0.771913800574104,0.259213076406127,0,0.699046153846154
23906,"IL, Will, 17197881500",17197881500,"+41.5433216,-088.1181961",0.569693651445295,0.480454511669955,0.503385506853289,0.598839924005862,0.423640148695987,0.712795663600526,0.699046153846154
23907,"IL, Will, 17197881601",17197881601,"+41.5333382,-088.1330270",0.404811613489799,0.301534450869939,0.528746159217083,0.472979473189807,0.42656344381581,0,0.699046153846154
