ToxPi Score,FIPS,Name,Source,Overall Physical Health!1!0x88cceeff,Mental Health & Deaths of Despair!1!0x44aa99ff,Chronic Disease!1!0x117733ff,Chronic Disease Prevention!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,Child Health!1!0x999933ff,Access to Care!1!0xcc6677ff
0.491448393950768,48215023511,"TX, Hidalgo, 48215023511","+26.3791500,-098.0922719",0.633914040665536,0.433204385699114,0.292810378340281,0.826430773354778,0.446771674790026,0.518391040219438,0.288616464586203
0.45546064028463,48215023512,"TX, Hidalgo, 48215023512","+26.4243401,-098.0958444",0.446716611617351,0.559135508362695,0.122628834474062,0.805964347942635,0.446771674790026,0.518391040219438,0.288616464586203
0.467489177776809,48215023513,"TX, Hidalgo, 48215023513","+26.3427824,-098.0904429",0.482575346604682,0.414437112559185,0.298341491886415,0.823291113791717,0.446771674790026,0.518391040219438,0.288616464586203
0.481065191091816,48215023514,"TX, Hidalgo, 48215023514","+26.2480524,-098.0790382",0.572112314337314,0.427796976081501,0.284782141854203,0.828985725774025,0.446771674790026,0.518391040219438,0.288616464586203
0.498601528195407,48215023515,"TX, Hidalgo, 48215023515","+26.2758257,-098.0775556",0.749256662569441,0.418355056054581,0.257269738834529,0.811550060313631,0.446771674790026,0.518391040219438,0.288616464586203
0.515171689369163,48215023600,"TX, Hidalgo, 48215023600","+26.3153392,-098.1377769",0.779882851394316,0.35084986101986,0.367313844578187,0.854376088996113,0.446771674790026,0.518391040219438,0.288616464586203
0.561846438537209,48215023700,"TX, Hidalgo, 48215023700","+26.2942837,-098.1398393",0.830065853172832,0.371644103273936,0.562637314230022,0.914798619488004,0.446771674790026,0.518391040219438,0.288616464586203
0.427038313707688,48215023801,"TX, Hidalgo, 48215023801","+26.2585435,-098.1479759",0.39138346597815,0.389057905024547,0.194596633426757,0.760451011928696,0.446771674790026,0.518391040219438,0.288616464586203
0.38838678300872,48215023802,"TX, Hidalgo, 48215023802","+26.2817530,-098.1432047",0.266193769012614,0.304213381545327,0.176489050652776,0.718032100254658,0.446771674790026,0.518391040219438,0.288616464586203
0.333051909845034,48215023902,"TX, Hidalgo, 48215023902","+26.2731818,-098.1908635",0.134041077547433,0.290406678186345,0.0988910241232538,0.554245409462539,0.446771674790026,0.518391040219438,0.288616464586203
0.503626484102632,48215023903,"TX, Hidalgo, 48215023903","+26.2952717,-098.1716796",0.699471938582818,0.333617385579781,0.411281929860304,0.827234955099853,0.446771674790026,0.518391040219438,0.288616464586203
0.34752712869578,48215023904,"TX, Hidalgo, 48215023904","+26.2988675,-098.1964402",0.193144128492656,0.360631767879026,0.0301994945184435,0.594935330384667,0.446771674790026,0.518391040219438,0.288616464586203
0.409408143827544,48215024000,"TX, Hidalgo, 48215024000","+26.3214981,-098.1751299",0.416584836603102,0.485147897726501,0.0320496230913666,0.678295469776169,0.446771674790026,0.518391040219438,0.288616464586203
0.43274296961975,48215024105,"TX, Hidalgo, 48215024105","+26.3037001,-098.2741818",0.374140784332576,0.376044504274137,0.220190078685528,0.805046240450342,0.446771674790026,0.518391040219438,0.288616464586203
0.43174674236298,48215024106,"TX, Hidalgo, 48215024106","+26.2632802,-098.2898436",0.521544768483866,0.348087872754098,0.18252399385493,0.716291381852299,0.446771674790026,0.518391040219438,0.288616464586203
0.508489827245822,48215024107,"TX, Hidalgo, 48215024107","+26.2693752,-098.3656483",0.506513215269147,0.407242343594913,0.507852033764847,0.88404201849618,0.446771674790026,0.518391040219438,0.288616464586203
0.511682532631704,48215024108,"TX, Hidalgo, 48215024108","+26.2811117,-098.3931791",0.625921017393752,0.431384646654145,0.422101878210882,0.848591006567484,0.446771674790026,0.518391040219438,0.288616464586203
0.527466219809202,48215024109,"TX, Hidalgo, 48215024109","+26.2689657,-098.3267412",0.740082539638941,0.425102985182188,0.410890980072574,0.862407854175044,0.446771674790026,0.518391040219438,0.288616464586203
0.47509802857736,48215024110,"TX, Hidalgo, 48215024110","+26.2672619,-098.3460071",0.552225892176588,0.432420797000035,0.278513179412915,0.80874715185632,0.446771674790026,0.518391040219438,0.288616464586203
0.473547231173698,48215024111,"TX, Hidalgo, 48215024111","+26.3344233,-098.2870727",0.488865388973199,0.404218079772847,0.317478759312589,0.850489210561587,0.446771674790026,0.518391040219438,0.288616464586203
0.549286691937634,48215024112,"TX, Hidalgo, 48215024112","+26.4004565,-098.3135702",0.844362652530094,0.436455307409343,0.463927999163037,0.8464817048653,0.446771674790026,0.518391040219438,0.288616464586203
0.53825122408692,48215024113,"TX, Hidalgo, 48215024113","+26.3049707,-098.3319152",0.672086906960934,0.437313369414533,0.519310716979885,0.885268395657419,0.446771674790026,0.518391040219438,0.288616464586203
0.529861546960038,48215024114,"TX, Hidalgo, 48215024114","+26.3109286,-098.3820828",0.716069135531186,0.438786645687595,0.442323893639632,0.858071974266184,0.446771674790026,0.518391040219438,0.288616464586203
0.511149172146596,48215024201,"TX, Hidalgo, 48215024201","+26.3510514,-098.4702142",0.501898686369973,0.42396645777154,0.516433656922289,0.881966224366707,0.446771674790026,0.518391040219438,0.288616464586203
0.529858154208049,48215024203,"TX, Hidalgo, 48215024203","+26.2583681,-098.4385261",0.453501067796494,0.308853392313015,0.775013903495972,0.917859536255194,0.446771674790026,0.518391040219438,0.288616464586203
0.504964395823934,48215024204,"TX, Hidalgo, 48215024204","+26.1949594,-098.4151949",0.608053451626415,0.368639267270856,0.430887235764747,0.873391636509851,0.446771674790026,0.518391040219438,0.288616464586203
0.434815005713662,48215024205,"TX, Hidalgo, 48215024205","+26.2339728,-098.4492242",0.39138346597815,0.35842671042418,0.236119905951798,0.803995778045838,0.446771674790026,0.518391040219438,0.288616464586203
0.475474377803117,48215024301,"TX, Hidalgo, 48215024301","+26.6175624,-098.1948738",0.479677532325736,0.279549765343319,0.475317853190095,0.839996314167002,0.446771674790026,0.518391040219438,0.288616464586203
0.560370573014807,48215024302,"TX, Hidalgo, 48215024302","+26.4228640,-097.9710985",0.642538814917563,0.388180415200371,0.667838598307353,0.970257003082697,0.446771674790026,0.518391040219438,0.288616464586203
0.483306349243675,48215024402,"TX, Hidalgo, 48215024402","+26.2620672,-098.0060995",0.724542838896633,0.376996467404423,0.237474464371259,0.790351494437743,0.446771674790026,0.518391040219438,0.288616464586203
0.52761414097803,48215024403,"TX, Hidalgo, 48215024403","+26.3006492,-097.9933262",0.776367019852088,0.334145174662218,0.440110346954171,0.888897265782067,0.446771674790026,0.518391040219438,0.288616464586203
0.506606641314653,48215024404,"TX, Hidalgo, 48215024404","+26.3329748,-098.0079866",0.681041290420046,0.38932018058085,0.384848768508169,0.837257070097842,0.446771674790026,0.518391040219438,0.288616464586203
0.544355707376797,48215024500,"TX, Hidalgo, 48215024500","+26.2933039,-097.9611482",0.808606920419977,0.402624998616041,0.46914525161198,0.876333601393915,0.446771674790026,0.518391040219438,0.288616464586203
0.508771285281089,48215024600,"TX, Hidalgo, 48215024600","+26.3109777,-097.9106821",0.726856970204701,0.419575770680832,0.300863393334031,0.860323683152392,0.446771674790026,0.518391040219438,0.288616464586203
0.48451780814461,48215980000,"TX, Hidalgo, 48215980000","+26.1777478,-098.2394811",0.568706352530781,0.364675992197827,0.370496506230418,0.833966626457579,0.446771674790026,0.518391040219438,0.288616464586203
0.531004621074101,48217960100,"TX, Hill, 48217960100","+32.1722528,-097.1648751",0.584197985263722,0.388752065237717,0.615847782874197,0.824604610642005,0.325877375361442,0.525147053730037,0.452605474409587
0.510423112998523,48217960200,"TX, Hill, 48217960200","+32.1100667,-097.3737877",0.522526729246637,0.317953854884966,0.699359613235027,0.729491690121968,0.325877375361442,0.525147053730037,0.452605474409587
0.591581272243962,48217960400,"TX, Hill, 48217960400","+31.9805794,-097.3648110",0.895321609316954,0.301035462518484,0.842045273086686,0.799036657284546,0.325877375361442,0.525147053730037,0.452605474409587
0.539195051097566,48217960500,"TX, Hill, 48217960500","+31.8986291,-097.2870451",0.698332040074986,0.345075090188631,0.647536741020544,0.779791582897735,0.325877375361442,0.525147053730037,0.452605474409587
0.61048309993364,48217960600,"TX, Hill, 48217960600","+31.9491585,-097.3217419",0.803848187492704,0.331601897722233,0.918938488731285,0.915363222088192,0.325877375361442,0.525147053730037,0.452605474409587
0.530536275808276,48217960700,"TX, Hill, 48217960700","+31.9551690,-097.1734907",0.604826028140386,0.353409624533382,0.644345819865756,0.807542554617344,0.325877375361442,0.525147053730037,0.452605474409587
