ToxPi Score,FIPS,Name,Source,Socioeconomic Status!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing & Transportation!1!0x332288ff,HUD Foreclosure!1!0xddcc77ff
0.109139939495982,17197880303,"IL, Will, 17197880303","41.7179438,-88.1770495",0.0732892557458284,0.120433110207657,0.347555884084158,0.00442144744226794,0
0.130004243494449,17197880304,"IL, Will, 17197880304","41.7183201,-88.157616",0.0724816229312965,0.0641999644094014,0.498733796011115,0.0146058341204331,0
0.0874214611309597,17197880305,"IL, Will, 17197880305","41.7020901,-88.1765105",0.00707705364598305,0.0554255129837241,0.364625682723502,0.00997905630158926,0
0.200093083104048,17197880306,"IL, Will, 17197880306","41.6885469,-88.1753234",0.105443992717616,0.109263137721928,0.708868903398902,0.0768893816817927,0
0.280473081187631,17197880307,"IL, Will, 17197880307","41.7171871,-88.19878",0.12132287517282,0.233501704242126,0.698930913172628,0.348609913350581,0
0.226257648556527,17197880308,"IL, Will, 17197880308","41.6618541,-88.1708951",0.199608503415329,0.0792575253583015,0.717670732208123,0.134751481800884,0
0.120449536637784,17197880309,"IL, Will, 17197880309","41.6953525,-88.1955544",0.0236814367650884,0.0693332238237992,0.464963793410264,0.0442692291897663,0
0.195926245328734,17197880310,"IL, Will, 17197880310","41.6602944,-88.2175072",0.108797722201689,0.222249599605766,0.618263452561839,0.0303204522743761,0
0.149425759380176,17197880312,"IL, Will, 17197880312","41.7030016,-88.2195565",0.0232844647037083,0.13012470398204,0.553392742255623,0.0403268859595088,0
0.237830068580346,17197880313,"IL, Will, 17197880313","41.7124607,-88.248762",0.197815284793232,0.191710128263042,0.688623328268517,0.111001601576937,0
0.0916266272432344,17197880314,"IL, Will, 17197880314","41.6691831,-88.2469451",0.0173572611665503,0.0700313471041573,0.343093370566575,0.0276511573788893,0
0.379629523426847,17197880404,"IL, Will, 17197880404","41.6141399,-88.2295848",0.190478146003586,0.377753138132589,0.6099544166564,0.17925341875077,0.540708497590889
0.350405869711032,17197880408,"IL, Will, 17197880408","41.6299888,-88.1510035",0.397218457831985,0.574870299645463,0.750496215076725,0.0294443760009856,0
0.270351662491616,17197880410,"IL, Will, 17197880410","41.6086733,-88.1533364",0.348117120446799,0.183798064418983,0.743843510875666,0.0759996167166304,0
0.183921262644929,17197880411,"IL, Will, 17197880411","41.6147638,-88.1834185",0.155407717684421,0.151232666694044,0.546425198143813,0.0665407307023668,0
0.279832450412714,17197880412,"IL, Will, 17197880412","41.5614506,-88.1525071",0.440214638686981,0.37768469467373,0.545987160007118,0.0352757586957415,0
0.209603986147044,17197880414,"IL, Will, 17197880414","41.5608689,-88.171589",0.318987584356563,0.217568067019835,0.466387417354523,0.0450768620042983,0
0.410118680957661,17197880415,"IL, Will, 17197880415","41.5811246,-88.157205",0.597785169671335,0.615142430837885,0.699943876363736,0.137721927915349,0
0.26930858417861,17197880416,"IL, Will, 17197880416","41.5582054,-88.1871785",0.378040600659795,0.351552982081502,0.575458913391647,0.0414904247601057,0
0.193445854379697,17197880417,"IL, Will, 17197880417","41.5832616,-88.1794028",0.199293663504579,0.223919620001916,0.520717834996509,0.02329815339548,0
0.201894514941207,17197880418,"IL, Will, 17197880418","41.5570863,-88.2085971",0.165797434739162,0.194215158857268,0.590270077888656,0.0591899032209492,0
0.227694961192559,17197880419,"IL, Will, 17197880419","41.5612435,-88.2243595",0.148782390866905,0.332429879676399,0.647283479117901,0.00997905630158926,0
0.269530340985312,17197880420,"IL, Will, 17197880420","41.5609236,-88.2469018",0.295360902358562,0.269366076684051,0.688527507426115,0.094397218457832,0
0.188003230531258,17197880421,"IL, Will, 17197880421","41.583669,-88.2187763",0.190669787688391,0.157570530984354,0.565698876158406,0.0260769578251407,0
0.292891153198172,17197880502,"IL, Will, 17197880502","41.6185573,-88.039936",0.319165537349596,0.166194406800542,0.23718396232872,0.0376028362969351,0.704309023215068
0.349425759380176,17197880503,"IL, Will, 17197880503","41.6313775,-88.1351208",0.280549737861553,0.800035590598607,0.630884426375371,0.0356590420653498,0
0.347629803019725,17197880505,"IL, Will, 17197880505","41.6322471,-88.1040485",0.692155010745623,0.140651307954499,0.776532106826551,0.128810589571955,0
0.341453465292322,17197880507,"IL, Will, 17197880507","41.6202202,-88.1348042",0.436614512751016,0.265916526357576,0.864126045473834,0.140610241879184,0
0.0874406252994401,17197880601,"IL, Will, 17197880601","41.5890214,-88.0357583",0.179007022298879,0.0657194091960631,0.0966832299837105,0.0957934650185482,0
0.227856487755465,17197880602,"IL, Will, 17197880602","41.5905329,-88.0546026",0.374372031264972,0.3245862592912,0.337138789645874,0.103185358575281,0
0.349034262795505,17197880701,"IL, Will, 17197880701","41.5770055,-88.0446815",0.422405650691963,0.741160527288407,0.434150548232106,0.147454587765047,0
0.627782568819898,17197880702,"IL, Will, 17197880702","41.5642841,-88.0549595",0.723474737519335,0.769277100187535,0.724720408470563,0.921440597922057,0
0.248871367363421,17197880901,"IL, Will, 17197880901","41.5769322,-88.1350296",0.255540497994607,0.322875172819734,0.639727321259907,0.0262138447428579,0
0.610605998384734,17197880903,"IL, Will, 17197880903","41.5574152,-88.1164336",0.772138036767826,0.987625422638358,0.72042215925424,0.572844373263247,0
0.312857788181184,17197880905,"IL, Will, 17197880905","41.5565914,-88.0960576",0.55725295333525,0.129043297332074,0.662039888847823,0.215952801390771,0
0.306449053544784,17197881001,"IL, Will, 17197881001","41.6201534,-88.002264",0.209163210271994,0.200457202305176,0.240893597798858,0.252912269174435,0.628818988173456
0.330001993112196,17197881002,"IL, Will, 17197881002","41.6175171,-87.9622764",0.162142554036111,0.293061202140911,0.265067827467729,0.322409757299495,0.607328624616732
0.306425000525693,17197881005,"IL, Will, 17197881005","41.6288605,-87.9407163",0.144155613048061,0.312362257539047,0.418696015221825,0.099516789180458,0.557394327639071
0.296026844396971,17197881006,"IL, Will, 17197881006","41.6364949,-87.9214915",0.154025159815476,0.211818816475709,0.388895733234775,0.14050073234501,0.584893780113885
0.171092220716466,17197881007,"IL, Will, 17197881007","41.5767794,-87.9418381",0.234377780515516,0.198787181909025,0.356576731961726,0.0657194091960631,0
0.141677959837378,17197881009,"IL, Will, 17197881009","41.5757865,-88.0172751",0.091837433096519,0.29526508151616,0.16879525823717,0.152492026337043,0
0.188233200553023,17197881010,"IL, Will, 17197881010","41.573473,-87.9836488",0.0766429852299016,0.441542441788838,0.385542003750702,0.0374385719956744,0
0.230821458393221,17197881011,"IL, Will, 17197881011","41.6220052,-87.9210406",0.144470452958811,0.135778133683764,0.427470466647503,0.44638823867603,0
0.133045870806127,17197881012,"IL, Will, 17197881012","41.6072708,-87.9301627",0.119406458324778,0.0909476681313567,0.376000985585808,0.0788742419886931,0
0.162091973667958,17197881105,"IL, Will, 17197881105","41.5366205,-87.9389322",0.0141951733672813,0.106689663668843,0.194571064843333,0.00325790864167112,0.49174605781866
0.131241701230613,17197881107,"IL, Will, 17197881107","41.5255409,-87.9726658",0.189999041791576,0.142827809946203,0.203865686556336,0.119515967858952,0
0.164094561482759,17197881108,"IL, Will, 17197881108","41.5369413,-87.9940417",0.189191408977044,0.0900579031661944,0.332005530231476,0.209217965039081,0
0.0801664544919442,17197881109,"IL, Will, 17197881109","41.4798486,-88.0031914",0.0835831519581674,0.136585766498296,0.0905096299946614,0.0901537240085965,0
